metric,tool,size,n,mean,median,std,iqr,min,max,cv
M1,rspack,m-500,20,1962.7,1826.5,660.64,162,1686,4808,33.66
M1,vite,m-500,20,877,869.5,37.07,19,847,1028,4.23
M1,webpack,m-500,20,4680.45,4513,625.44,215.25,4320,6992,13.36
M1,rspack,xl-5000,20,8093.75,7605,2153.57,180.75,7468,17472,26.61
M1,vite,xl-5000,20,862.9,863,9.04,9.25,849,885,1.05
M1,webpack,xl-5000,20,19162.9,18924.5,684.71,194,18737,21464,3.57
M1,rspack,xs-50,20,1181.1,1144.5,74.2,124.5,1106,1344,6.28
M1,vite,xs-50,20,891.6,867.5,57.77,31.25,846,1055,6.48
M1,webpack,xs-50,20,2886.85,2485,1289.84,211.5,2413,8329,44.68
M10,esbuild,l-2000,10,175.88,177.3,6.11,3.78,158.9,181.5,3.48
M10,rollup,l-2000,10,2078.65,2076,12.48,8.78,2067.6,2111.1,0.6
M10,rspack,l-2000,10,1092.34,1120,63.72,17.15,929,1133.9,5.83
M10,vite,l-2000,10,924.01,924.05,12.68,11.85,895.8,947.7,1.37
M10,webpack,l-2000,10,4747.46,4832.45,349.84,376.43,4093.2,5169.8,7.37
M10,esbuild,m-500,10,123.34,124.3,3.21,0.85,113.9,125.3,2.61
M10,rollup,m-500,10,1074.83,1088,35.16,54.23,1001,1114.8,3.27
M10,rspack,m-500,10,508.68,506.15,6.52,6.02,502.6,523.6,1.28
M10,vite,m-500,10,552.65,551.4,4.24,5.45,544.1,559.1,0.77
M10,webpack,m-500,10,2115.85,2123.5,76.36,89.28,1963.5,2229.3,3.61
M10,esbuild,s-200,10,140.44,140.6,3.52,2.38,134.9,147.6,2.5
M10,rollup,s-200,10,583.06,602.1,33.49,43.25,523.6,612.9,5.74
M10,rspack,s-200,10,279.03,278.9,2.77,3.5,275.6,284.4,0.99
M10,vite,s-200,10,387.17,386.7,3.22,4.88,383,393.1,0.83
M10,webpack,s-200,10,892,896.45,34.04,65.35,840,933,3.82
M10,esbuild,xl-5000,10,283.57,286.55,7.86,8.15,267.4,292.7,2.77
M10,rollup,xl-5000,10,3115.53,3072.45,88.93,146.43,2988.9,3251.7,2.85
M10,rspack,xl-5000,10,2050.42,2097.25,188.93,288.05,1708.6,2283.7,9.21
M10,vite,xl-5000,10,1677.4,1686.65,22.54,32.72,1637.4,1703.8,1.34
M10,webpack,xl-5000,10,6107.39,5925.2,526.04,869.42,5416.8,7003,8.61
M10,esbuild,xs-50,10,100.26,100.45,2.01,1.7,96,103.1,2
M10,rollup,xs-50,10,431.61,407.85,32.89,67.35,401.4,473.9,7.62
M10,rspack,xs-50,10,192.32,192.65,2.71,4.23,187.7,195.8,1.41
M10,vite,xs-50,10,232.88,234.2,3.64,5.58,226.9,237.4,1.56
M10,webpack,xs-50,10,475.84,479,8.37,13.38,462.2,487.7,1.76
M10,esbuild,bp-react,10,61.9,62,0.83,1.75,61,63,1.34
M10,rollup,bp-react,10,637.9,639,6.49,4.75,621,645,1.02
M10,rspack,bp-react,10,312.2,313,2.93,2.5,305,316,0.94
M10,vite,bp-react,10,469.3,468.5,3.69,6,463,474,0.79
M10,webpack,bp-react,10,1133.3,1112,52.73,82.75,1043,1200,4.65
M11,esbuild,l-2000,10,11.2,8.8,7.45,1.55,7.36,33.44,66.56
M11,rollup,l-2000,10,916.24,432.03,921.97,1935.46,44.68,2087.6,100.63
M11,rspack,l-2000,10,11.62,11.64,0.24,0.29,11.26,12,2.05
M11,vite,l-2000,10,6.04,6.06,0.3,0.55,5.62,6.42,4.94
M11,webpack,l-2000,10,81.39,76.99,12.75,0.38,76.34,119.56,15.67
M11,esbuild,m-500,10,5.02,3.43,4.96,0.67,2.46,19.86,98.94
M11,rollup,m-500,10,17.36,14.98,7.04,0.44,14.72,38.46,40.54
M11,rspack,m-500,10,4.82,4.78,0.21,0.23,4.6,5.3,4.35
M11,vite,m-500,10,3.72,3.29,1.18,0.32,3.1,7.22,31.84
M11,webpack,m-500,10,24.48,20.89,11,0.27,20.48,57.46,44.93
M11,esbuild,s-200,10,2.82,1.75,2.12,0.95,1.42,7.8,74.97
M11,rollup,s-200,10,214.63,7.95,619.93,0.22,7.84,2074.42,288.84
M11,rspack,s-200,10,2.99,3,0.21,0.35,2.66,3.32,7.15
M11,vite,s-200,10,2.64,2.62,0.07,0.08,2.52,2.76,2.66
M11,webpack,s-200,10,13.84,10.33,10.49,0.27,10.08,45.3,75.77
M11,esbuild,xl-5000,10,36.05,28.67,15.36,0.79,27.76,72.36,42.61
M11,rollup,xl-5000,10,1987.75,1736.72,1791.74,3284.36,195.98,5262.66,90.14
M11,rspack,xl-5000,10,25.61,25.47,0.46,0.48,25.04,26.62,1.79
M11,vite,xl-5000,10,11.07,11.1,0.17,0.23,10.84,11.4,1.58
M11,webpack,xl-5000,10,221.65,214.52,18.57,1.81,213.02,276.22,8.38
M11,esbuild,xs-50,10,2.37,1.41,2.77,0.23,1.26,10.66,117.11
M11,rollup,xs-50,10,8.08,5.7,7.23,0.11,5.54,29.76,89.38
M11,rspack,xs-50,10,2.22,2.15,0.17,0.21,2.02,2.62,7.75
M11,vite,xs-50,10,2.06,1.95,0.21,0.24,1.88,2.58,9.99
M11,webpack,xs-50,10,14.82,7.81,20.21,1.51,7.4,75.4,136.35
M11,esbuild,bp-react,10,1.53,1.47,0.16,0.11,1.36,1.9,10.37
M11,rollup,bp-react,10,10.17,10.19,0.15,0.23,9.88,10.38,1.45
M11,rspack,bp-react,10,4.22,4.21,0.24,0.41,3.9,4.64,5.79
M11,vite,bp-react,10,4.52,4.48,0.28,0.21,4.26,5.3,6.27
M11,webpack,bp-react,10,15.24,15.17,0.54,0.97,14.58,16.22,3.53
M2,esbuild,l-2000,10,4283.7,3592,2402.03,714.25,3087,11420,56.07
M2,rollup,l-2000,10,24945.1,24608,1885.35,676,22577,30223,7.56
M2,rspack,l-2000,10,6886.1,6133.5,1966.68,192.5,5996,12687,28.56
M2,vite,l-2000,10,3816.8,2926.5,2442.94,88.5,2848,11111,64
M2,webpack,l-2000,10,41311.4,39664,3761.11,2301.25,38351,51434,9.1
M2,esbuild,m-500,10,1371.3,988.5,1136.11,35.25,957,4778,82.85
M2,rollup,m-500,10,7714.3,7669.5,145,191,7514,7984,1.88
M2,rspack,m-500,10,2832.3,2516,797.48,177,2436,5161,28.16
M2,vite,m-500,10,2093.9,1644.5,1318.16,48.5,1611,6046,62.95
M2,webpack,m-500,10,12187,10982.5,3725.32,485.25,10431,23291,30.57
M2,esbuild,s-200,10,793.2,544,605.46,55.5,526,2555,76.33
M2,rollup,s-200,10,3882.5,3859.5,61.38,73.25,3822,4023,1.58
M2,rspack,s-200,10,1761.8,1518,589.82,113,1451,3450,33.48
M2,vite,s-200,10,1942,1431,997.73,475.75,1293,4344,51.38
M2,webpack,s-200,10,6350.4,5214,2486.17,146,5080,12968,39.15
M2,esbuild,xl-5000,10,17032.4,14682.5,5048.05,3924.75,13549,30479,29.64
M2,rollup,xl-5000,10,106285,99208.5,14281.31,1202,98221,139441,13.44
M2,rspack,xl-5000,10,14742.3,13848.5,2887.83,498.75,12923,23204,19.59
M2,vite,xl-5000,10,6877.5,5899.5,3054.29,379.25,5433,16013,44.41
M2,webpack,xl-5000,10,120580.4,115871.5,11959.74,8416.25,109900,153078,9.92
M2,esbuild,xs-50,10,682,399,801.99,41,382,3085,117.59
M2,rollup,xs-50,10,2876.1,2857.5,72.58,37.25,2788,3031,2.52
M2,rspack,xs-50,10,1472.5,1149.5,930.12,131.75,1103,4257,63.17
M2,vite,xs-50,10,1339.6,1017,890.16,38.25,967,3992,66.45
M2,webpack,xs-50,10,5819,3712,6066.71,155.75,3600,24007,104.26
M2,esbuild,bp-react,10,1531,672,2516.67,49.75,633,9079,164.38
M2,rollup,bp-react,10,6415.7,4909,4390.47,77.25,4873,19582,68.43
M2,rspack,bp-react,10,3252.6,2248,3105.28,224.25,1952,12555,95.47
M2,vite,bp-react,10,2209,2224,94.96,161,2044,2315,4.3
M2,webpack,bp-react,10,12278.6,7347,14758.84,583,6994,56545,120.2
M3,esbuild,m-500,20,1196.6,807,1642.99,135.75,627,8340,137.31
M3,rollup,m-500,20,3143.45,3130,192.52,228.75,2917,3792,6.12
