metric,size,tool_1,tool_2,cliffs_delta,magnitude
M1,xs-50,vite,webpack,-1,large
M1,m-500,vite,webpack,-1,large
M1,xl-5000,vite,webpack,-1,large
M10,xs-50,vite,rspack,1,large
M10,xs-50,vite,esbuild,1,large
M10,xs-50,vite,webpack,-1,large
M10,xs-50,vite,rollup,-1,large
M10,xs-50,rspack,esbuild,1,large
M10,xs-50,rspack,webpack,-1,large
M10,xs-50,rspack,rollup,-1,large
M10,xs-50,esbuild,webpack,-1,large
M10,xs-50,esbuild,rollup,-1,large
M10,xs-50,webpack,rollup,0.76,large
M10,s-200,vite,rspack,1,large
M10,s-200,vite,esbuild,1,large
M10,s-200,vite,webpack,-1,large
M10,s-200,vite,rollup,-1,large
M10,s-200,rspack,esbuild,1,large
M10,s-200,rspack,webpack,-1,large
M10,s-200,rspack,rollup,-1,large
M10,s-200,esbuild,webpack,-1,large
M10,s-200,esbuild,rollup,-1,large
M10,s-200,webpack,rollup,1,large
M10,m-500,vite,rspack,1,large
M10,m-500,vite,esbuild,1,large
M10,m-500,vite,webpack,-1,large
M10,m-500,vite,rollup,-1,large
M10,m-500,rspack,esbuild,1,large
M10,m-500,rspack,webpack,-1,large
M10,m-500,rspack,rollup,-1,large
M10,m-500,esbuild,webpack,-1,large
M10,m-500,esbuild,rollup,-1,large
M10,m-500,webpack,rollup,1,large
M10,l-2000,vite,rspack,-0.94,large
M10,l-2000,vite,esbuild,1,large
M10,l-2000,vite,webpack,-1,large
M10,l-2000,vite,rollup,-1,large
M10,l-2000,rspack,esbuild,1,large
M10,l-2000,rspack,webpack,-1,large
M10,l-2000,rspack,rollup,-1,large
M10,l-2000,esbuild,webpack,-1,large
M10,l-2000,esbuild,rollup,-1,large
M10,l-2000,webpack,rollup,1,large
M10,xl-5000,vite,rspack,-1,large
M10,xl-5000,vite,esbuild,1,large
M10,xl-5000,vite,webpack,-1,large
M10,xl-5000,vite,rollup,-1,large
M10,xl-5000,rspack,esbuild,1,large
M10,xl-5000,rspack,webpack,-1,large
M10,xl-5000,rspack,rollup,-1,large
M10,xl-5000,esbuild,webpack,-1,large
M10,xl-5000,esbuild,rollup,-1,large
M10,xl-5000,webpack,rollup,1,large
M11,xs-50,vite,rspack,-0.5,large
M11,xs-50,vite,esbuild,0.74,large
M11,xs-50,vite,webpack,-1,large
M11,xs-50,vite,rollup,-1,large
M11,xs-50,rspack,esbuild,0.8,large
M11,xs-50,rspack,webpack,-1,large
M11,xs-50,rspack,rollup,-1,large
M11,xs-50,esbuild,webpack,-0.82,large
M11,xs-50,esbuild,rollup,-0.82,large
M11,xs-50,webpack,rollup,0.82,large
M11,s-200,vite,rspack,-0.9,large
M11,s-200,vite,esbuild,0.58,large
M11,s-200,vite,webpack,-1,large
M11,s-200,vite,rollup,-1,large
M11,s-200,rspack,esbuild,0.6,large
M11,s-200,rspack,webpack,-1,large
M11,s-200,rspack,rollup,-1,large
M11,s-200,esbuild,webpack,-1,large
M11,s-200,esbuild,rollup,-1,large
M11,s-200,webpack,rollup,0.8,large
M11,m-500,vite,rspack,-0.8,large
M11,m-500,vite,esbuild,-0.11,negligible
M11,m-500,vite,webpack,-1,large
M11,m-500,vite,rollup,-1,large
M11,m-500,rspack,esbuild,0.8,large
M11,m-500,rspack,webpack,-1,large
M11,m-500,rspack,rollup,-1,large
M11,m-500,esbuild,webpack,-1,large
M11,m-500,esbuild,rollup,-0.82,large
M11,m-500,webpack,rollup,0.82,large
M11,l-2000,vite,rspack,-1,large
M11,l-2000,vite,esbuild,-1,large
M11,l-2000,vite,webpack,-1,large
M11,l-2000,vite,rollup,-1,large
M11,l-2000,rspack,esbuild,0.8,large
M11,l-2000,rspack,webpack,-1,large
M11,l-2000,rspack,rollup,-1,large
M11,l-2000,esbuild,webpack,-1,large
M11,l-2000,esbuild,rollup,-1,large
M11,l-2000,webpack,rollup,-0.38,medium
M11,xl-5000,vite,rspack,-1,large
M11,xl-5000,vite,esbuild,-1,large
M11,xl-5000,vite,webpack,-1,large
M11,xl-5000,vite,rollup,-1,large
