metric,size,H,p_value,significant
M1,m-500,50.2046,0,Yes
M1,xl-5000,52.459,0,Yes
M1,xs-50,52.459,0,Yes
M10,l-2000,46.7849,0,Yes
M10,m-500,47.0588,0,Yes
M10,s-200,47.0588,0,Yes
M10,xl-5000,47.0588,0,Yes
M10,xs-50,46.0649,0,Yes
M10,bp-react,47.0588,0,Yes
M11,l-2000,44.1986,0,Yes
M11,m-500,39.436,0,Yes
M11,s-200,41.2056,0,Yes
M11,xl-5000,45.392,0,Yes
M11,xs-50,36.4113,0,Yes
M11,bp-react,45.4974,0,Yes
M2,l-2000,43.6132,0,Yes
M2,m-500,43.8993,0,Yes
M2,s-200,41.1567,0,Yes
M2,xl-5000,41.7807,0,Yes
M2,xs-50,34.7059,0.000001,Yes
M2,bp-react,33.0824,0.000001,Yes
M3,m-500,85.7973,0,Yes
M3,xl-5000,61.7776,0,Yes
M3,xs-50,71.982,0,Yes
M3,bp-react,49.6161,0,Yes
M4,m-500,34.1755,0,Yes
M4,xs-50,11.029,0.004028,Yes
M4,bp-react,40.9508,0,Yes
