tool,size,metric,run,value,unit,timestamp
esbuild,xs-50,M3,1,414,ms,2026-09-14T06:35:13Z
esbuild,xs-50,M3,2,107,ms,2026-09-14T06:35:13Z
esbuild,xs-50,M3,3,372,ms,2026-09-14T06:35:13Z
esbuild,xs-50,M3,4,131,ms,2026-09-14T06:35:13Z
esbuild,xs-50,M3,5,200,ms,2026-09-14T06:35:13Z
esbuild,xs-50,M3,6,103,ms,2026-09-14T06:35:13Z
esbuild,xs-50,M3,7,123,ms,2026-09-14T06:35:13Z
esbuild,xs-50,M3,8,146,ms,2026-09-14T06:35:13Z
esbuild,xs-50,M3,9,107,ms,2026-09-14T06:35:13Z
esbuild,xs-50,M3,10,134,ms,2026-09-14T06:35:13Z
esbuild,xs-50,M3,11,126,ms,2026-09-14T06:35:13Z
esbuild,xs-50,M3,12,108,ms,2026-09-14T06:35:13Z
esbuild,xs-50,M3,13,247,ms,2026-09-14T06:35:13Z
esbuild,xs-50,M3,14,106,ms,2026-09-14T06:35:13Z
esbuild,xs-50,M3,15,106,ms,2026-09-14T06:35:13Z
esbuild,xs-50,M3,16,187,ms,2026-09-14T06:35:13Z
esbuild,xs-50,M3,17,128,ms,2026-09-14T06:35:13Z
esbuild,xs-50,M3,18,115,ms,2026-09-14T06:35:13Z
esbuild,xs-50,M3,19,118,ms,2026-09-14T06:35:13Z
esbuild,xs-50,M3,20,102,ms,2026-09-14T06:35:13Z
