tool,size,metric,run,value,unit,timestamp
rollup,m-500,M11,1,38.46,seconds,2026-09-12T17:36:22Z
rollup,m-500,M11,2,15.36,seconds,2026-09-12T17:36:22Z
rollup,m-500,M11,3,15.46,seconds,2026-09-12T17:36:22Z
rollup,m-500,M11,4,15.12,seconds,2026-09-12T17:36:22Z
rollup,m-500,M11,5,14.78,seconds,2026-09-12T17:36:22Z
rollup,m-500,M11,6,14.86,seconds,2026-09-12T17:36:22Z
rollup,m-500,M11,7,14.86,seconds,2026-09-12T17:36:22Z
rollup,m-500,M11,8,14.96,seconds,2026-09-12T17:36:22Z
rollup,m-500,M11,9,14.72,seconds,2026-09-12T17:36:22Z
rollup,m-500,M11,10,15.00,seconds,2026-09-12T17:36:22Z
