tool,size,metric,run,value,unit,timestamp
rollup,s-200,M11,1,2074.42,seconds,2026-09-12T17:18:27Z
rollup,s-200,M11,2,8.14,seconds,2026-09-12T17:18:27Z
rollup,s-200,M11,3,8.00,seconds,2026-09-12T17:18:27Z
rollup,s-200,M11,4,7.90,seconds,2026-09-12T17:18:27Z
rollup,s-200,M11,5,7.86,seconds,2026-09-12T17:18:27Z
rollup,s-200,M11,6,7.92,seconds,2026-09-12T17:18:27Z
rollup,s-200,M11,7,7.98,seconds,2026-09-12T17:18:27Z
rollup,s-200,M11,8,8.36,seconds,2026-09-12T17:18:27Z
rollup,s-200,M11,9,7.88,seconds,2026-09-12T17:18:27Z
rollup,s-200,M11,10,7.84,seconds,2026-09-12T17:18:27Z
