tool,size,metric,run,value,unit,timestamp
rollup,xl-5000,M11,1,1255.64,seconds,2026-09-12T18:54:15Z
rollup,xl-5000,M11,2,195.98,seconds,2026-09-12T18:54:15Z
rollup,xl-5000,M11,3,201.12,seconds,2026-09-12T18:54:15Z
rollup,xl-5000,M11,4,2217.80,seconds,2026-09-12T18:54:15Z
rollup,xl-5000,M11,5,249.56,seconds,2026-09-12T18:54:15Z
rollup,xl-5000,M11,6,220.24,seconds,2026-09-12T18:54:15Z
rollup,xl-5000,M11,7,3929.08,seconds,2026-09-12T18:54:15Z
rollup,xl-5000,M11,8,2260.46,seconds,2026-09-12T18:54:15Z
rollup,xl-5000,M11,9,5262.66,seconds,2026-09-12T18:54:15Z
rollup,xl-5000,M11,10,4084.94,seconds,2026-09-12T18:54:15Z
