tool,size,metric,run,value,unit,timestamp
rollup,xs-50,M3,1,3415,ms,2026-09-12T21:39:56Z
rollup,xs-50,M3,2,939,ms,2026-09-12T21:39:56Z
rollup,xs-50,M3,3,902,ms,2026-09-12T21:39:56Z
rollup,xs-50,M3,4,1098,ms,2026-09-12T21:39:56Z
rollup,xs-50,M3,5,950,ms,2026-09-12T21:39:56Z
rollup,xs-50,M3,6,859,ms,2026-09-12T21:39:56Z
rollup,xs-50,M3,7,930,ms,2026-09-12T21:39:56Z
rollup,xs-50,M3,8,880,ms,2026-09-12T21:39:56Z
rollup,xs-50,M3,9,870,ms,2026-09-12T21:39:56Z
rollup,xs-50,M3,10,967,ms,2026-09-12T21:39:56Z
rollup,xs-50,M3,11,865,ms,2026-09-12T21:39:56Z
rollup,xs-50,M3,12,965,ms,2026-09-12T21:39:56Z
rollup,xs-50,M3,13,891,ms,2026-09-12T21:39:56Z
rollup,xs-50,M3,14,974,ms,2026-09-12T21:39:56Z
rollup,xs-50,M3,15,894,ms,2026-09-12T21:39:56Z
rollup,xs-50,M3,16,906,ms,2026-09-12T21:39:56Z
rollup,xs-50,M3,17,908,ms,2026-09-12T21:39:56Z
rollup,xs-50,M3,18,938,ms,2026-09-12T21:39:56Z
rollup,xs-50,M3,19,887,ms,2026-09-12T21:39:56Z
rollup,xs-50,M3,20,931,ms,2026-09-12T21:39:56Z
