tool,size,metric,run,value,unit,timestamp
rspack,l-2000,M10,1,1121.3,MB,2026-09-11T21:44:42Z
rspack,l-2000,M10,2,1117.0,MB,2026-09-11T21:44:42Z
rspack,l-2000,M10,3,1118.7,MB,2026-09-11T21:44:42Z
rspack,l-2000,M10,4,1133.9,MB,2026-09-11T21:44:42Z
rspack,l-2000,M10,5,1107.7,MB,2026-09-11T21:44:42Z
rspack,l-2000,M10,6,1130.1,MB,2026-09-11T21:44:42Z
rspack,l-2000,M10,7,929.0,MB,2026-09-11T21:44:42Z
rspack,l-2000,M10,8,1128.5,MB,2026-09-11T21:44:42Z
rspack,l-2000,M10,9,1123.2,MB,2026-09-11T21:44:42Z
rspack,l-2000,M10,10,1014.0,MB,2026-09-11T21:44:42Z
