tool,size,metric,run,value,unit,timestamp
rspack,m-500,M4,1,12,ms,2026-09-11T23:50:58Z
rspack,m-500,M4,2,14,ms,2026-09-11T23:50:58Z
rspack,m-500,M4,3,14,ms,2026-09-11T23:50:58Z
rspack,m-500,M4,4,16,ms,2026-09-11T23:50:58Z
rspack,m-500,M4,5,14,ms,2026-09-11T23:50:58Z
rspack,m-500,M4,6,13,ms,2026-09-11T23:50:58Z
rspack,m-500,M4,7,15,ms,2026-09-11T23:50:58Z
rspack,m-500,M4,8,14,ms,2026-09-11T23:50:58Z
rspack,m-500,M4,9,48,ms,2026-09-11T23:50:58Z
rspack,m-500,M4,10,14,ms,2026-09-11T23:50:58Z
rspack,m-500,M4,11,15,ms,2026-09-11T23:50:58Z
rspack,m-500,M4,12,9,ms,2026-09-11T23:50:58Z
rspack,m-500,M4,13,22,ms,2026-09-11T23:50:58Z
rspack,m-500,M4,14,15,ms,2026-09-11T23:50:58Z
rspack,m-500,M4,15,4,ms,2026-09-11T23:50:58Z
rspack,m-500,M4,16,13,ms,2026-09-11T23:50:58Z
rspack,m-500,M4,17,13,ms,2026-09-11T23:50:58Z
rspack,m-500,M4,18,15,ms,2026-09-11T23:50:58Z
rspack,m-500,M4,19,13,ms,2026-09-11T23:50:58Z
rspack,m-500,M4,20,14,ms,2026-09-11T23:50:58Z
