tool,size,metric,run,value,unit,timestamp
rspack,s-200,M11,1,3.26,seconds,2026-09-11T21:48:13Z
rspack,s-200,M11,2,2.96,seconds,2026-09-11T21:48:13Z
rspack,s-200,M11,3,3.20,seconds,2026-09-11T21:48:13Z
rspack,s-200,M11,4,2.74,seconds,2026-09-11T21:48:13Z
rspack,s-200,M11,5,2.80,seconds,2026-09-11T21:48:13Z
rspack,s-200,M11,6,3.04,seconds,2026-09-11T21:48:13Z
rspack,s-200,M11,7,3.04,seconds,2026-09-11T21:48:13Z
rspack,s-200,M11,8,3.32,seconds,2026-09-11T21:48:13Z
rspack,s-200,M11,9,2.86,seconds,2026-09-11T21:48:13Z
rspack,s-200,M11,10,2.66,seconds,2026-09-11T21:48:13Z
