tool,size,metric,run,value,unit,timestamp
rspack,xl-5000,M11,1,26.10,seconds,2026-09-11T21:49:56Z
rspack,xl-5000,M11,2,25.56,seconds,2026-09-11T21:49:56Z
rspack,xl-5000,M11,3,26.62,seconds,2026-09-11T21:49:56Z
rspack,xl-5000,M11,4,25.38,seconds,2026-09-11T21:49:56Z
rspack,xl-5000,M11,5,25.12,seconds,2026-09-11T21:49:56Z
rspack,xl-5000,M11,6,25.04,seconds,2026-09-11T21:49:56Z
rspack,xl-5000,M11,7,25.56,seconds,2026-09-11T21:49:56Z
rspack,xl-5000,M11,8,25.94,seconds,2026-09-11T21:49:56Z
rspack,xl-5000,M11,9,25.36,seconds,2026-09-11T21:49:56Z
rspack,xl-5000,M11,10,25.38,seconds,2026-09-11T21:49:56Z
