tool,size,metric,run,value,unit,timestamp
rspack,xs-50,M4,1,16,ms,2026-09-11T23:50:09Z
rspack,xs-50,M4,2,14,ms,2026-09-11T23:50:09Z
rspack,xs-50,M4,3,14,ms,2026-09-11T23:50:09Z
rspack,xs-50,M4,4,15,ms,2026-09-11T23:50:09Z
rspack,xs-50,M4,5,6,ms,2026-09-11T23:50:09Z
rspack,xs-50,M4,6,12,ms,2026-09-11T23:50:09Z
rspack,xs-50,M4,7,73,ms,2026-09-11T23:50:09Z
rspack,xs-50,M4,8,29,ms,2026-09-11T23:50:09Z
rspack,xs-50,M4,9,15,ms,2026-09-11T23:50:09Z
rspack,xs-50,M4,10,16,ms,2026-09-11T23:50:09Z
rspack,xs-50,M4,11,16,ms,2026-09-11T23:50:09Z
rspack,xs-50,M4,12,13,ms,2026-09-11T23:50:09Z
rspack,xs-50,M4,13,14,ms,2026-09-11T23:50:09Z
rspack,xs-50,M4,14,14,ms,2026-09-11T23:50:09Z
rspack,xs-50,M4,15,14,ms,2026-09-11T23:50:09Z
rspack,xs-50,M4,16,12,ms,2026-09-11T23:50:09Z
rspack,xs-50,M4,17,14,ms,2026-09-11T23:50:09Z
rspack,xs-50,M4,18,14,ms,2026-09-11T23:50:09Z
rspack,xs-50,M4,19,14,ms,2026-09-11T23:50:09Z
rspack,xs-50,M4,20,15,ms,2026-09-11T23:50:09Z
