tool,size,metric,run,value,unit,timestamp
vite,l-2000,M10,1,927.5,MB,2026-09-11T21:06:17Z
vite,l-2000,M10,2,931.6,MB,2026-09-11T21:06:17Z
vite,l-2000,M10,3,917.3,MB,2026-09-11T21:06:17Z
vite,l-2000,M10,4,924.5,MB,2026-09-11T21:06:17Z
vite,l-2000,M10,5,895.8,MB,2026-09-11T21:06:17Z
vite,l-2000,M10,6,932.7,MB,2026-09-11T21:06:17Z
vite,l-2000,M10,7,916.4,MB,2026-09-11T21:06:17Z
vite,l-2000,M10,8,947.7,MB,2026-09-11T21:06:17Z
vite,l-2000,M10,9,923.6,MB,2026-09-11T21:06:17Z
vite,l-2000,M10,10,923.0,MB,2026-09-11T21:06:17Z
