tool,size,metric,run,value,unit,timestamp
vite,m-500,M11,1,3.56,seconds,2026-09-11T21:08:18Z
vite,m-500,M11,2,3.40,seconds,2026-09-11T21:08:18Z
vite,m-500,M11,3,7.22,seconds,2026-09-11T21:08:18Z
vite,m-500,M11,4,3.80,seconds,2026-09-11T21:08:18Z
vite,m-500,M11,5,3.18,seconds,2026-09-11T21:08:18Z
vite,m-500,M11,6,3.34,seconds,2026-09-11T21:08:18Z
vite,m-500,M11,7,3.10,seconds,2026-09-11T21:08:18Z
vite,m-500,M11,8,3.24,seconds,2026-09-11T21:08:18Z
vite,m-500,M11,9,3.12,seconds,2026-09-11T21:08:18Z
vite,m-500,M11,10,3.24,seconds,2026-09-11T21:08:18Z
