tool,size,metric,run,value,unit,timestamp
vite,s-200,M10,1,393.1,MB,2026-09-11T21:05:41Z
vite,s-200,M10,2,386.5,MB,2026-09-11T21:05:41Z
vite,s-200,M10,3,383.0,MB,2026-09-11T21:05:41Z
vite,s-200,M10,4,390.1,MB,2026-09-11T21:05:41Z
vite,s-200,M10,5,387.6,MB,2026-09-11T21:05:41Z
vite,s-200,M10,6,384.0,MB,2026-09-11T21:05:41Z
vite,s-200,M10,7,391.0,MB,2026-09-11T21:05:41Z
vite,s-200,M10,8,386.9,MB,2026-09-11T21:05:41Z
vite,s-200,M10,9,383.1,MB,2026-09-11T21:05:41Z
vite,s-200,M10,10,386.4,MB,2026-09-11T21:05:41Z
