tool,size,metric,run,value,unit,timestamp
vite,xl-5000,M10,1,1661.3,MB,2026-09-11T21:06:50Z
vite,xl-5000,M10,2,1702.3,MB,2026-09-11T21:06:50Z
vite,xl-5000,M10,3,1703.8,MB,2026-09-11T21:06:50Z
vite,xl-5000,M10,4,1683.6,MB,2026-09-11T21:06:50Z
vite,xl-5000,M10,5,1661.6,MB,2026-09-11T21:06:50Z
vite,xl-5000,M10,6,1692.9,MB,2026-09-11T21:06:50Z
vite,xl-5000,M10,7,1694.5,MB,2026-09-11T21:06:50Z
vite,xl-5000,M10,8,1689.7,MB,2026-09-11T21:06:50Z
vite,xl-5000,M10,9,1646.9,MB,2026-09-11T21:06:50Z
vite,xl-5000,M10,10,1637.4,MB,2026-09-11T21:06:50Z
