tool,size,metric,run,value,unit,timestamp
vite,xs-50,M10,1,236.4,MB,2026-09-11T21:05:27Z
vite,xs-50,M10,2,234.1,MB,2026-09-11T21:05:27Z
vite,xs-50,M10,3,234.3,MB,2026-09-11T21:05:27Z
vite,xs-50,M10,4,237.4,MB,2026-09-11T21:05:27Z
vite,xs-50,M10,5,226.9,MB,2026-09-11T21:05:27Z
vite,xs-50,M10,6,235.3,MB,2026-09-11T21:05:27Z
vite,xs-50,M10,7,233.3,MB,2026-09-11T21:05:27Z
vite,xs-50,M10,8,235.2,MB,2026-09-11T21:05:27Z
vite,xs-50,M10,9,227.4,MB,2026-09-11T21:05:27Z
vite,xs-50,M10,10,228.5,MB,2026-09-11T21:05:27Z
