tool,size,metric,run,value,unit,timestamp
webpack,l-2000,M2,1,51434,ms,2026-09-12T02:23:39Z
webpack,l-2000,M2,2,44238,ms,2026-09-12T02:23:39Z
webpack,l-2000,M2,3,40440,ms,2026-09-12T02:23:39Z
webpack,l-2000,M2,4,38351,ms,2026-09-12T02:23:39Z
webpack,l-2000,M2,5,38604,ms,2026-09-12T02:23:39Z
webpack,l-2000,M2,6,39446,ms,2026-09-12T02:23:39Z
webpack,l-2000,M2,7,39593,ms,2026-09-12T02:23:39Z
webpack,l-2000,M2,8,39735,ms,2026-09-12T02:23:39Z
webpack,l-2000,M2,9,39268,ms,2026-09-12T02:23:39Z
webpack,l-2000,M2,10,42005,ms,2026-09-12T02:23:39Z
