tool,size,metric,run,value,unit,timestamp
webpack,m-500,M3,1,389,ms,2026-09-12T07:04:04Z
webpack,m-500,M3,2,347,ms,2026-09-12T07:04:04Z
webpack,m-500,M3,3,295,ms,2026-09-12T07:04:04Z
webpack,m-500,M3,4,327,ms,2026-09-12T07:04:04Z
webpack,m-500,M3,5,536,ms,2026-09-12T07:04:04Z
webpack,m-500,M3,6,312,ms,2026-09-12T07:04:04Z
webpack,m-500,M3,7,564,ms,2026-09-12T07:04:04Z
webpack,m-500,M3,8,303,ms,2026-09-12T07:04:04Z
webpack,m-500,M3,9,538,ms,2026-09-12T07:04:04Z
webpack,m-500,M3,10,596,ms,2026-09-12T07:04:04Z
webpack,m-500,M3,11,290,ms,2026-09-12T07:04:04Z
webpack,m-500,M3,12,559,ms,2026-09-12T07:04:04Z
webpack,m-500,M3,13,625,ms,2026-09-12T07:04:04Z
webpack,m-500,M3,14,285,ms,2026-09-12T07:04:04Z
webpack,m-500,M3,15,514,ms,2026-09-12T07:04:04Z
webpack,m-500,M3,16,550,ms,2026-09-12T07:04:04Z
webpack,m-500,M3,17,593,ms,2026-09-12T07:04:04Z
webpack,m-500,M3,18,500,ms,2026-09-12T07:04:04Z
webpack,m-500,M3,19,578,ms,2026-09-12T07:04:04Z
webpack,m-500,M3,20,564,ms,2026-09-12T07:04:04Z
