tool,size,metric,run,value,unit,timestamp
webpack,s-200,M11,1,45.30,seconds,2026-09-12T06:26:05Z
webpack,s-200,M11,2,10.44,seconds,2026-09-12T06:26:05Z
webpack,s-200,M11,3,10.42,seconds,2026-09-12T06:26:05Z
webpack,s-200,M11,4,10.20,seconds,2026-09-12T06:26:05Z
webpack,s-200,M11,5,10.88,seconds,2026-09-12T06:26:05Z
webpack,s-200,M11,6,10.24,seconds,2026-09-12T06:26:05Z
webpack,s-200,M11,7,10.08,seconds,2026-09-12T06:26:05Z
webpack,s-200,M11,8,10.48,seconds,2026-09-12T06:26:05Z
webpack,s-200,M11,9,10.22,seconds,2026-09-12T06:26:05Z
webpack,s-200,M11,10,10.16,seconds,2026-09-12T06:26:05Z
