tool,size,metric,run,value,unit,timestamp
webpack,xl-5000,M3,1,4010,ms,2026-09-14T17:46:40Z
webpack,xl-5000,M3,2,3624,ms,2026-09-14T17:46:40Z
webpack,xl-5000,M3,3,3730,ms,2026-09-14T17:46:40Z
webpack,xl-5000,M3,4,3665,ms,2026-09-14T17:46:40Z
webpack,xl-5000,M3,5,4918,ms,2026-09-14T17:46:40Z
webpack,xl-5000,M3,6,4151,ms,2026-09-14T17:46:40Z
webpack,xl-5000,M3,7,4179,ms,2026-09-14T17:46:40Z
webpack,xl-5000,M3,8,3986,ms,2026-09-14T17:46:40Z
webpack,xl-5000,M3,9,3881,ms,2026-09-14T17:46:40Z
webpack,xl-5000,M3,10,3869,ms,2026-09-14T17:46:40Z
webpack,xl-5000,M3,11,3926,ms,2026-09-14T17:46:40Z
webpack,xl-5000,M3,12,3843,ms,2026-09-14T17:46:40Z
webpack,xl-5000,M3,13,3869,ms,2026-09-14T17:46:40Z
webpack,xl-5000,M3,14,3773,ms,2026-09-14T17:46:40Z
webpack,xl-5000,M3,15,4248,ms,2026-09-14T17:46:40Z
webpack,xl-5000,M3,16,3979,ms,2026-09-14T17:46:40Z
webpack,xl-5000,M3,17,3926,ms,2026-09-14T17:46:40Z
webpack,xl-5000,M3,18,3424,ms,2026-09-14T17:46:40Z
webpack,xl-5000,M3,19,3894,ms,2026-09-14T17:46:40Z
webpack,xl-5000,M3,20,4476,ms,2026-09-14T17:46:40Z
