tool,size,metric,run,value,unit,timestamp
webpack,xs-50,M10,1,480.8,MB,2026-09-12T05:55:41Z
webpack,xs-50,M10,2,465.9,MB,2026-09-12T05:55:41Z
webpack,xs-50,M10,3,481.0,MB,2026-09-12T05:55:41Z
webpack,xs-50,M10,4,474.3,MB,2026-09-12T05:55:41Z
webpack,xs-50,M10,5,464.4,MB,2026-09-12T05:55:41Z
webpack,xs-50,M10,6,483.4,MB,2026-09-12T05:55:41Z
webpack,xs-50,M10,7,462.2,MB,2026-09-12T05:55:41Z
webpack,xs-50,M10,8,481.5,MB,2026-09-12T05:55:41Z
webpack,xs-50,M10,9,487.7,MB,2026-09-12T05:55:41Z
webpack,xs-50,M10,10,477.2,MB,2026-09-12T05:55:41Z
