tool,size,metric,run,value,unit,timestamp
vite,bp-react,M11,1,5.30,seconds,2026-09-13T23:38:13Z
vite,bp-react,M11,2,4.60,seconds,2026-09-13T23:38:13Z
vite,bp-react,M11,3,4.30,seconds,2026-09-13T23:38:13Z
vite,bp-react,M11,4,4.52,seconds,2026-09-13T23:38:13Z
vite,bp-react,M11,5,4.48,seconds,2026-09-13T23:38:13Z
vite,bp-react,M11,6,4.56,seconds,2026-09-13T23:38:13Z
vite,bp-react,M11,7,4.48,seconds,2026-09-13T23:38:13Z
vite,bp-react,M11,8,4.26,seconds,2026-09-13T23:38:13Z
vite,bp-react,M11,9,4.48,seconds,2026-09-13T23:38:13Z
vite,bp-react,M11,10,4.26,seconds,2026-09-13T23:38:13Z
