tool,size,metric,run,value,unit,timestamp
webpack,bp-react,M4,1,15,ms,2026-09-13T23:57:41Z
webpack,bp-react,M4,2,40,ms,2026-09-13T23:57:41Z
webpack,bp-react,M4,3,14,ms,2026-09-13T23:57:41Z
webpack,bp-react,M4,4,13,ms,2026-09-13T23:57:41Z
webpack,bp-react,M4,5,30,ms,2026-09-13T23:57:41Z
webpack,bp-react,M4,6,14,ms,2026-09-13T23:57:41Z
webpack,bp-react,M4,7,15,ms,2026-09-13T23:57:41Z
webpack,bp-react,M4,8,15,ms,2026-09-13T23:57:41Z
webpack,bp-react,M4,9,13,ms,2026-09-13T23:57:41Z
webpack,bp-react,M4,10,15,ms,2026-09-13T23:57:41Z
webpack,bp-react,M4,11,36,ms,2026-09-13T23:57:41Z
webpack,bp-react,M4,12,14,ms,2026-09-13T23:57:41Z
webpack,bp-react,M4,13,15,ms,2026-09-13T23:57:41Z
webpack,bp-react,M4,14,13,ms,2026-09-13T23:57:41Z
webpack,bp-react,M4,15,15,ms,2026-09-13T23:57:41Z
webpack,bp-react,M4,16,13,ms,2026-09-13T23:57:41Z
webpack,bp-react,M4,17,36,ms,2026-09-13T23:57:41Z
webpack,bp-react,M4,18,5,ms,2026-09-13T23:57:41Z
webpack,bp-react,M4,19,14,ms,2026-09-13T23:57:41Z
webpack,bp-react,M4,20,13,ms,2026-09-13T23:57:41Z
