tier,metric,size,tool_1,tool_2,cliffs_delta,ci_95_low,ci_95_high,magnitude
tier1,M3,l-2000,esbuild,rollup,-1,-1,-1,large
tier1,M3,l-2000,esbuild,rspack,1,1,1,large
tier1,M3,l-2000,esbuild,vite,-1,-1,-1,large
tier1,M3,l-2000,esbuild,webpack,1,1,1,large
tier1,M3,l-2000,rollup,rspack,1,1,1,large
tier1,M3,l-2000,rollup,vite,1,1,1,large
tier1,M3,l-2000,rollup,webpack,1,1,1,large
tier1,M3,l-2000,rspack,vite,-1,-1,-1,large
tier1,M3,l-2000,rspack,webpack,-1,-1,-1,large
tier1,M3,l-2000,vite,webpack,1,1,1,large
tier1,M3,m-500,esbuild,rollup,-1,-1,-1,large
tier1,M3,m-500,esbuild,rspack,1,1,1,large
tier1,M3,m-500,esbuild,vite,-1,-1,-1,large
tier1,M3,m-500,esbuild,webpack,1,1,1,large
tier1,M3,m-500,rollup,rspack,1,1,1,large
tier1,M3,m-500,rollup,vite,1,1,1,large
tier1,M3,m-500,rollup,webpack,1,1,1,large
tier1,M3,m-500,rspack,vite,-1,-1,-1,large
tier1,M3,m-500,rspack,webpack,-1,-1,-1,large
tier1,M3,m-500,vite,webpack,1,1,1,large
tier1,M3,s-200,esbuild,rollup,-1,-1,-1,large
tier1,M3,s-200,esbuild,rspack,1,1,1,large
tier1,M3,s-200,esbuild,vite,-1,-1,-1,large
tier1,M3,s-200,esbuild,webpack,1,1,1,large
tier1,M3,s-200,rollup,rspack,1,1,1,large
tier1,M3,s-200,rollup,vite,1,1,1,large
tier1,M3,s-200,rollup,webpack,1,1,1,large
tier1,M3,s-200,rspack,vite,-1,-1,-1,large
tier1,M3,s-200,rspack,webpack,-1,-1,-1,large
tier1,M3,s-200,vite,webpack,1,1,1,large
tier1,M3,xl-5000,esbuild,rollup,-1,-1,-1,large
tier1,M3,xl-5000,esbuild,rspack,1,1,1,large
tier1,M3,xl-5000,esbuild,vite,1,1,1,large
tier1,M3,xl-5000,esbuild,webpack,1,1,1,large
tier1,M3,xl-5000,rollup,rspack,1,1,1,large
tier1,M3,xl-5000,rollup,vite,1,1,1,large
tier1,M3,xl-5000,rollup,webpack,1,1,1,large
tier1,M3,xl-5000,rspack,vite,-1,-1,-1,large
tier1,M3,xl-5000,rspack,webpack,-1,-1,-1,large
tier1,M3,xl-5000,vite,webpack,1,1,1,large
tier1,M3,xs-50,esbuild,rollup,-1,-1,-1,large
tier1,M3,xs-50,esbuild,rspack,1,1,1,large
tier1,M3,xs-50,esbuild,vite,-1,-1,-1,large
tier1,M3,xs-50,esbuild,webpack,0.76,0.2,1,large
tier1,M3,xs-50,rollup,rspack,1,1,1,large
tier1,M3,xs-50,rollup,vite,1,1,1,large
tier1,M3,xs-50,rollup,webpack,1,1,1,large
tier1,M3,xs-50,rspack,vite,-1,-1,-1,large
tier1,M3,xs-50,rspack,webpack,-1,-1,-1,large
tier1,M3,xs-50,vite,webpack,1,1,1,large
