tier,metric,size,tool,unit_of_analysis,n,mean,median,std,iqr,min,max
tier1,M3,l-2000,esbuild,session_median,5,2184.5,2211,47.287683,76,2124.5,2226
tier1,M3,m-500,esbuild,session_median,5,661.5,662.5,39.036842,13.5,600,707.5
tier1,M3,s-200,esbuild,session_median,5,305.1,305.5,20.069878,30,279.5,327.5
tier1,M3,xl-5000,esbuild,session_median,5,6493.6,6755,658.447549,1134,5669,7079
tier1,M3,xs-50,esbuild,session_median,5,167.2,149.5,36.053086,15,145,230.5
tier1,M3,l-2000,rollup,session_median,5,6229.4,6278.5,113.22842,179,6100.5,6353
tier1,M3,m-500,rollup,session_median,5,2993.7,3080,227.704743,404,2748,3228.5
tier1,M3,s-200,rollup,session_median,5,1445.7,1407.5,93.098469,83.5,1353.5,1591
tier1,M3,xl-5000,rollup,session_median,5,15019.1,15254,1074.693642,1800,13903.5,16293
tier1,M3,xs-50,rollup,session_median,5,1160.4,1154.5,45.294039,41.5,1117.5,1232.5
tier1,M3,l-2000,rspack,session_median,5,169.2,168.5,3.174114,1,166,174.5
tier1,M3,m-500,rspack,session_median,5,83.4,82.5,6.107373,7.5,77.5,92.5
tier1,M3,s-200,rspack,session_median,5,56.6,54,5.308013,1.5,53.5,66
tier1,M3,xl-5000,rspack,session_median,5,348.9,351.5,9.555103,12,334.5,357.5
tier1,M3,xs-50,rspack,session_median,5,51.3,52.5,2.361144,4,48.5,53.5
tier1,M3,l-2000,vite,session_median,5,3174.5,3011.5,381.52703,71.5,2918.5,3849
tier1,M3,m-500,vite,session_median,5,1642.1,1649,100.34341,116,1515.5,1774
tier1,M3,s-200,vite,session_median,5,820.4,816.5,30.017495,48,784.5,854
tier1,M3,xl-5000,vite,session_median,5,4846.2,4598.5,358.341422,630,4558,5248.5
tier1,M3,xs-50,vite,session_median,5,355.6,351.5,17.140595,11,343.5,385
tier1,M3,l-2000,webpack,session_median,5,1472.1,1461,31.576099,37.5,1437,1516
tier1,M3,m-500,webpack,session_median,5,388.9,385.5,8.088572,7.5,381,401.5
tier1,M3,s-200,webpack,session_median,5,197.6,206,16.37605,17.5,171.5,210
tier1,M3,xl-5000,webpack,session_median,5,3729.6,3818.5,213.129479,317,3480,3970.5
tier1,M3,xs-50,webpack,session_median,5,130.5,129,16.792856,18,113.5,156
