tier,metric,size,tool_1,tool_2,z,p_raw,p_bonferroni,significant
tier1,M3,l-2000,esbuild,rollup,-2.148345,0.031686,0.316864,No
tier1,M3,l-2000,esbuild,rspack,2.148345,0.031686,0.316864,No
tier1,M3,l-2000,esbuild,vite,-1.074172,0.282745,1,No
tier1,M3,l-2000,esbuild,webpack,1.074172,0.282745,1,No
tier1,M3,l-2000,rollup,rspack,4.296689,0.000017,0.000173,Yes
tier1,M3,l-2000,rollup,vite,1.074172,0.282745,1,No
tier1,M3,l-2000,rollup,webpack,3.222517,0.001271,0.012707,Yes
tier1,M3,l-2000,rspack,vite,-3.222517,0.001271,0.012707,Yes
tier1,M3,l-2000,rspack,webpack,-1.074172,0.282745,1,No
tier1,M3,l-2000,vite,webpack,2.148345,0.031686,0.316864,No
tier1,M3,m-500,esbuild,rollup,-2.148345,0.031686,0.316864,No
tier1,M3,m-500,esbuild,rspack,2.148345,0.031686,0.316864,No
tier1,M3,m-500,esbuild,vite,-1.074172,0.282745,1,No
tier1,M3,m-500,esbuild,webpack,1.074172,0.282745,1,No
tier1,M3,m-500,rollup,rspack,4.296689,0.000017,0.000173,Yes
tier1,M3,m-500,rollup,vite,1.074172,0.282745,1,No
tier1,M3,m-500,rollup,webpack,3.222517,0.001271,0.012707,Yes
tier1,M3,m-500,rspack,vite,-3.222517,0.001271,0.012707,Yes
tier1,M3,m-500,rspack,webpack,-1.074172,0.282745,1,No
tier1,M3,m-500,vite,webpack,2.148345,0.031686,0.316864,No
tier1,M3,s-200,esbuild,rollup,-2.148758,0.031654,0.316536,No
tier1,M3,s-200,esbuild,rspack,2.148758,0.031654,0.316536,No
tier1,M3,s-200,esbuild,vite,-1.074379,0.282653,1,No
tier1,M3,s-200,esbuild,webpack,1.074379,0.282653,1,No
tier1,M3,s-200,rollup,rspack,4.297516,0.000017,0.000173,Yes
tier1,M3,s-200,rollup,vite,1.074379,0.282653,1,No
tier1,M3,s-200,rollup,webpack,3.223137,0.001268,0.012679,Yes
tier1,M3,s-200,rspack,vite,-3.223137,0.001268,0.012679,Yes
tier1,M3,s-200,rspack,webpack,-1.074379,0.282653,1,No
tier1,M3,s-200,vite,webpack,2.148758,0.031654,0.316536,No
tier1,M3,xl-5000,esbuild,rollup,-1.074172,0.282745,1,No
tier1,M3,xl-5000,esbuild,rspack,3.222517,0.001271,0.012707,Yes
tier1,M3,xl-5000,esbuild,vite,1.074172,0.282745,1,No
tier1,M3,xl-5000,esbuild,webpack,2.148345,0.031686,0.316864,No
tier1,M3,xl-5000,rollup,rspack,4.296689,0.000017,0.000173,Yes
tier1,M3,xl-5000,rollup,vite,2.148345,0.031686,0.316864,No
tier1,M3,xl-5000,rollup,webpack,3.222517,0.001271,0.012707,Yes
tier1,M3,xl-5000,rspack,vite,-2.148345,0.031686,0.316864,No
tier1,M3,xl-5000,rspack,webpack,-1.074172,0.282745,1,No
tier1,M3,xl-5000,vite,webpack,1.074172,0.282745,1,No
tier1,M3,xs-50,esbuild,rollup,-2.277683,0.022745,0.227454,No
tier1,M3,xs-50,esbuild,rspack,2.019832,0.043401,0.434008,No
tier1,M3,xs-50,esbuild,vite,-1.203304,0.228859,1,No
tier1,M3,xs-50,esbuild,webpack,0.816528,0.414198,1,No
tier1,M3,xs-50,rollup,rspack,4.297516,0.000017,0.000173,Yes
tier1,M3,xs-50,rollup,vite,1.074379,0.282653,1,No
tier1,M3,xs-50,rollup,webpack,3.094211,0.001973,0.019734,Yes
tier1,M3,xs-50,rspack,vite,-3.223137,0.001268,0.012679,Yes
tier1,M3,xs-50,rspack,webpack,-1.203304,0.228859,1,No
tier1,M3,xs-50,vite,webpack,2.019832,0.043401,0.434008,No
