tier,metric,size,tool,n,mean,median,std,iqr,min,max
tier1,M3,l-2000,esbuild,20,1760.75,2186.5,828.397176,566.75,175,2514
tier1,M3,m-500,esbuild,20,893.4,661,648.772314,86.5,39,2921
tier1,M3,s-200,esbuild,20,554.75,296,557.964239,116,267,1996
tier1,M3,xl-5000,esbuild,20,5542,6032.5,2292.140645,2107.75,886,8300
tier1,M3,xs-50,esbuild,20,332.35,154.5,406.422165,52.75,130,1653
tier1,M3,l-2000,rollup,20,6242.7,6267,252.712672,298,5779,6663
tier1,M3,m-500,rollup,20,3005.95,3054.5,228.222992,398.75,2697,3449
tier1,M3,s-200,rollup,20,1441.4,1427,145.141093,172,1243,1788
tier1,M3,xl-5000,rollup,20,16241.5,15014,4879.568461,1594.25,12258,30487
tier1,M3,xs-50,rollup,20,1163,1153,111.676695,119,1005,1466
tier1,M3,l-2000,rspack,20,172.7,169,17.944652,11.5,157,239
tier1,M3,m-500,rspack,20,85.1,82,12.324131,12,76,130
tier1,M3,s-200,rspack,20,58.25,55,6.180402,11.25,52,68
tier1,M3,xl-5000,rspack,20,349.6,349.5,24.10154,21.75,298,398
tier1,M3,xs-50,rspack,20,53.35,53.5,12.512205,4.75,35,89
tier1,M3,l-2000,vite,20,3162.05,3027.5,348.637419,295.25,2831,3946
tier1,M3,m-500,vite,20,1679.05,1649,147.337948,197.75,1491,2094
tier1,M3,s-200,vite,20,842.85,805.5,97.581423,48,771,1126
tier1,M3,xl-5000,vite,20,4955,4661.5,534.995819,651.25,4502,6689
tier1,M3,xs-50,vite,20,365.8,351.5,34.410219,39.75,331,450
tier1,M3,l-2000,webpack,20,1482.15,1483.5,63.492457,101.75,1365,1614
tier1,M3,m-500,webpack,20,399.4,388,38.913399,38.75,354,494
tier1,M3,s-200,webpack,20,202.25,199,41.827811,46,161,333
tier1,M3,xl-5000,webpack,20,3760.05,3774,252.448739,369,3380,4250
tier1,M3,xs-50,webpack,20,134.2,129.5,24.330185,36.5,101,181
