tool,size,metric,run,value,unit,timestamp,session
esbuild,m-500,M3,1,2921,ms,2026-09-15T03:53:31Z,1
esbuild,m-500,M3,2,652,ms,2026-09-15T03:53:31Z,1
esbuild,m-500,M3,3,673,ms,2026-09-15T03:53:31Z,1
esbuild,m-500,M3,4,651,ms,2026-09-15T03:53:31Z,1
esbuild,m-500,M3,5,39,ms,2026-09-15T03:53:31Z,2
esbuild,m-500,M3,6,602,ms,2026-09-15T03:53:31Z,2
esbuild,m-500,M3,7,618,ms,2026-09-15T03:53:31Z,2
esbuild,m-500,M3,8,598,ms,2026-09-15T03:53:31Z,2
esbuild,m-500,M3,9,2002,ms,2026-09-15T03:53:31Z,3
esbuild,m-500,M3,10,592,ms,2026-09-15T03:53:31Z,3
esbuild,m-500,M3,11,664,ms,2026-09-15T03:53:31Z,3
esbuild,m-500,M3,12,660,ms,2026-09-15T03:53:31Z,3
esbuild,m-500,M3,13,1731,ms,2026-09-15T03:53:31Z,4
esbuild,m-500,M3,14,670,ms,2026-09-15T03:53:31Z,4
esbuild,m-500,M3,15,612,ms,2026-09-15T03:53:31Z,4
esbuild,m-500,M3,16,745,ms,2026-09-15T03:53:31Z,4
esbuild,m-500,M3,17,1445,ms,2026-09-15T03:53:31Z,5
esbuild,m-500,M3,18,642,ms,2026-09-15T03:53:31Z,5
esbuild,m-500,M3,19,662,ms,2026-09-15T03:53:31Z,5
esbuild,m-500,M3,20,689,ms,2026-09-15T03:53:31Z,5
