tool,size,metric,run,value,unit,timestamp,session
esbuild,xl-5000,M3,1,2829,ms,2026-09-15T03:53:31Z,1
esbuild,xl-5000,M3,2,8300,ms,2026-09-15T03:53:31Z,1
esbuild,xl-5000,M3,3,6579,ms,2026-09-15T03:53:31Z,1
esbuild,xl-5000,M3,4,6931,ms,2026-09-15T03:53:31Z,1
esbuild,xl-5000,M3,5,2827,ms,2026-09-15T03:53:31Z,2
esbuild,xl-5000,M3,6,7727,ms,2026-09-15T03:53:31Z,2
esbuild,xl-5000,M3,7,7015,ms,2026-09-15T03:53:31Z,2
esbuild,xl-5000,M3,8,7084,ms,2026-09-15T03:53:31Z,2
esbuild,xl-5000,M3,9,2199,ms,2026-09-15T03:53:31Z,3
esbuild,xl-5000,M3,10,7476,ms,2026-09-15T03:53:31Z,3
esbuild,xl-5000,M3,11,6682,ms,2026-09-15T03:53:31Z,3
esbuild,xl-5000,M3,12,8124,ms,2026-09-15T03:53:31Z,3
esbuild,xl-5000,M3,13,886,ms,2026-09-15T06:03:55Z,4
esbuild,xl-5000,M3,14,6054,ms,2026-09-15T06:03:55Z,4
esbuild,xl-5000,M3,15,5820,ms,2026-09-15T06:03:55Z,4
esbuild,xl-5000,M3,16,6011,ms,2026-09-15T06:03:55Z,4
esbuild,xl-5000,M3,17,1082,ms,2026-09-15T06:03:55Z,5
esbuild,xl-5000,M3,18,5715,ms,2026-09-15T06:03:55Z,5
esbuild,xl-5000,M3,19,5876,ms,2026-09-15T06:03:55Z,5
esbuild,xl-5000,M3,20,5623,ms,2026-09-15T06:03:55Z,5
