tool,size,metric,run,value,unit,timestamp,session
rollup,l-2000,M3,1,6663,ms,2026-09-15T03:53:31Z,1
rollup,l-2000,M3,2,6241,ms,2026-09-15T03:53:31Z,1
rollup,l-2000,M3,3,6465,ms,2026-09-15T03:53:31Z,1
rollup,l-2000,M3,4,5987,ms,2026-09-15T03:53:31Z,1
rollup,l-2000,M3,5,6556,ms,2026-09-15T03:53:31Z,2
rollup,l-2000,M3,6,6198,ms,2026-09-15T03:53:31Z,2
rollup,l-2000,M3,7,6307,ms,2026-09-15T03:53:31Z,2
rollup,l-2000,M3,8,6250,ms,2026-09-15T03:53:31Z,2
rollup,l-2000,M3,9,6601,ms,2026-09-15T03:53:31Z,3
rollup,l-2000,M3,10,6106,ms,2026-09-15T03:53:31Z,3
rollup,l-2000,M3,11,6287,ms,2026-09-15T03:53:31Z,3
rollup,l-2000,M3,12,6307,ms,2026-09-15T03:53:31Z,3
rollup,l-2000,M3,13,6243,ms,2026-09-15T03:53:31Z,4
rollup,l-2000,M3,14,5958,ms,2026-09-15T03:53:31Z,4
rollup,l-2000,M3,15,5803,ms,2026-09-15T03:53:31Z,4
rollup,l-2000,M3,16,6344,ms,2026-09-15T03:53:31Z,4
rollup,l-2000,M3,17,6523,ms,2026-09-15T03:53:31Z,5
rollup,l-2000,M3,18,5779,ms,2026-09-15T03:53:31Z,5
rollup,l-2000,M3,19,6284,ms,2026-09-15T03:53:31Z,5
rollup,l-2000,M3,20,5952,ms,2026-09-15T03:53:31Z,5
