tool,size,metric,run,value,unit,timestamp,session
rspack,m-500,M3,1,90,ms,2026-09-15T03:53:31Z,1
rspack,m-500,M3,2,88,ms,2026-09-15T03:53:31Z,1
rspack,m-500,M3,3,77,ms,2026-09-15T03:53:31Z,1
rspack,m-500,M3,4,76,ms,2026-09-15T03:53:31Z,1
rspack,m-500,M3,5,76,ms,2026-09-15T03:53:31Z,2
rspack,m-500,M3,6,78,ms,2026-09-15T03:53:31Z,2
rspack,m-500,M3,7,78,ms,2026-09-15T03:53:31Z,2
rspack,m-500,M3,8,77,ms,2026-09-15T03:53:31Z,2
rspack,m-500,M3,9,76,ms,2026-09-15T03:53:31Z,3
rspack,m-500,M3,10,77,ms,2026-09-15T03:53:31Z,3
rspack,m-500,M3,11,89,ms,2026-09-15T03:53:31Z,3
rspack,m-500,M3,12,80,ms,2026-09-15T03:53:31Z,3
rspack,m-500,M3,13,88,ms,2026-09-15T03:53:31Z,4
rspack,m-500,M3,14,88,ms,2026-09-15T03:53:31Z,4
rspack,m-500,M3,15,84,ms,2026-09-15T03:53:31Z,4
rspack,m-500,M3,16,76,ms,2026-09-15T03:53:31Z,4
rspack,m-500,M3,17,89,ms,2026-09-15T03:53:31Z,5
rspack,m-500,M3,18,89,ms,2026-09-15T03:53:31Z,5
rspack,m-500,M3,19,130,ms,2026-09-15T03:53:31Z,5
rspack,m-500,M3,20,96,ms,2026-09-15T03:53:31Z,5
