tool,size,metric,run,value,unit,timestamp,session
rspack,xs-50,M3,1,52,ms,2026-09-15T03:53:31Z,1
rspack,xs-50,M3,2,56,ms,2026-09-15T03:53:31Z,1
rspack,xs-50,M3,3,54,ms,2026-09-15T03:53:31Z,1
rspack,xs-50,M3,4,52,ms,2026-09-15T03:53:31Z,1
rspack,xs-50,M3,5,53,ms,2026-09-15T03:53:31Z,2
rspack,xs-50,M3,6,89,ms,2026-09-15T03:53:31Z,2
rspack,xs-50,M3,7,54,ms,2026-09-15T03:53:31Z,2
rspack,xs-50,M3,8,53,ms,2026-09-15T03:53:31Z,2
rspack,xs-50,M3,9,54,ms,2026-09-15T03:53:31Z,3
rspack,xs-50,M3,10,51,ms,2026-09-15T03:53:31Z,3
rspack,xs-50,M3,11,80,ms,2026-09-15T03:53:31Z,3
rspack,xs-50,M3,12,42,ms,2026-09-15T03:53:31Z,3
rspack,xs-50,M3,13,54,ms,2026-09-15T03:53:31Z,4
rspack,xs-50,M3,14,35,ms,2026-09-15T03:53:31Z,4
rspack,xs-50,M3,15,44,ms,2026-09-15T03:53:31Z,4
rspack,xs-50,M3,16,54,ms,2026-09-15T03:53:31Z,4
rspack,xs-50,M3,17,54,ms,2026-09-15T03:53:31Z,5
rspack,xs-50,M3,18,36,ms,2026-09-15T03:53:31Z,5
rspack,xs-50,M3,19,43,ms,2026-09-15T03:53:31Z,5
rspack,xs-50,M3,20,57,ms,2026-09-15T03:53:31Z,5
