tool,size,metric,run,value,unit,timestamp,session
vite,l-2000,M3,1,2983,ms,2026-09-15T03:53:31Z,1
vite,l-2000,M3,2,3083,ms,2026-09-15T03:53:31Z,1
vite,l-2000,M3,3,3040,ms,2026-09-15T03:53:31Z,1
vite,l-2000,M3,4,2909,ms,2026-09-15T03:53:31Z,1
vite,l-2000,M3,5,3274,ms,2026-09-15T03:53:31Z,2
vite,l-2000,M3,6,3213,ms,2026-09-15T03:53:31Z,2
vite,l-2000,M3,7,2952,ms,2026-09-15T03:53:31Z,2
vite,l-2000,M3,8,2872,ms,2026-09-15T03:53:31Z,2
vite,l-2000,M3,9,3111,ms,2026-09-15T03:53:31Z,3
vite,l-2000,M3,10,3007,ms,2026-09-15T03:53:31Z,3
vite,l-2000,M3,11,2874,ms,2026-09-15T03:53:31Z,3
vite,l-2000,M3,12,3015,ms,2026-09-15T03:53:31Z,3
vite,l-2000,M3,13,3771,ms,2026-09-15T03:53:31Z,4
vite,l-2000,M3,14,3927,ms,2026-09-15T03:53:31Z,4
vite,l-2000,M3,15,3499,ms,2026-09-15T03:53:31Z,4
vite,l-2000,M3,16,3946,ms,2026-09-15T03:53:31Z,4
vite,l-2000,M3,17,2896,ms,2026-09-15T03:53:31Z,5
vite,l-2000,M3,18,2941,ms,2026-09-15T03:53:31Z,5
vite,l-2000,M3,19,2831,ms,2026-09-15T03:53:31Z,5
vite,l-2000,M3,20,3097,ms,2026-09-15T03:53:31Z,5
