tool,size,metric,run,value,unit,timestamp,session
webpack,xs-50,M3,1,159,ms,2026-09-15T03:53:31Z,1
webpack,xs-50,M3,2,112,ms,2026-09-15T03:53:31Z,1
webpack,xs-50,M3,3,124,ms,2026-09-15T03:53:31Z,1
webpack,xs-50,M3,4,109,ms,2026-09-15T03:53:31Z,1
webpack,xs-50,M3,5,146,ms,2026-09-15T03:53:31Z,2
webpack,xs-50,M3,6,115,ms,2026-09-15T03:53:31Z,2
webpack,xs-50,M3,7,181,ms,2026-09-15T03:53:31Z,2
webpack,xs-50,M3,8,166,ms,2026-09-15T03:53:31Z,2
webpack,xs-50,M3,9,148,ms,2026-09-15T03:53:31Z,3
webpack,xs-50,M3,10,113,ms,2026-09-15T03:53:31Z,3
webpack,xs-50,M3,11,114,ms,2026-09-15T03:53:31Z,3
webpack,xs-50,M3,12,101,ms,2026-09-15T03:53:31Z,3
webpack,xs-50,M3,13,137,ms,2026-09-15T03:53:31Z,4
webpack,xs-50,M3,14,121,ms,2026-09-15T03:53:31Z,4
webpack,xs-50,M3,15,115,ms,2026-09-15T03:53:31Z,4
webpack,xs-50,M3,16,179,ms,2026-09-15T03:53:31Z,4
webpack,xs-50,M3,17,135,ms,2026-09-15T03:53:31Z,5
webpack,xs-50,M3,18,114,ms,2026-09-15T03:53:31Z,5
webpack,xs-50,M3,19,137,ms,2026-09-15T03:53:31Z,5
webpack,xs-50,M3,20,158,ms,2026-09-15T03:53:31Z,5
