tier,metric,size,tool,unit_of_analysis,n,mean,median,std,iqr,min,max
tier1,M5,l-2000,esbuild,deterministic_aggregate,1,32751306,32751306,0,0,32751306,32751306
tier1,M6,l-2000,esbuild,deterministic_aggregate,1,862335,862335,0,0,862335,862335
tier1,M8,l-2000,esbuild,deterministic_aggregate,1,50,50,0,0,50,50
tier1,M9,l-2000,esbuild,deterministic_aggregate,1,100,100,0,0,100,100
tier1,M5,m-500,esbuild,deterministic_aggregate,1,6531439,6531439,0,0,6531439,6531439
tier1,M6,m-500,esbuild,deterministic_aggregate,1,404388,404388,0,0,404388,404388
tier1,M8,m-500,esbuild,deterministic_aggregate,1,31,31,0,0,31,31
tier1,M9,m-500,esbuild,deterministic_aggregate,1,100,100,0,0,100,100
tier1,M5,s-200,esbuild,deterministic_aggregate,1,1298868,1298868,0,0,1298868,1298868
tier1,M6,s-200,esbuild,deterministic_aggregate,1,151133,151133,0,0,151133,151133
tier1,M8,s-200,esbuild,deterministic_aggregate,1,10,10,0,0,10,10
tier1,M9,s-200,esbuild,deterministic_aggregate,1,100,100,0,0,100,100
tier1,M5,xl-5000,esbuild,deterministic_aggregate,1,167317981,167317981,0,0,167317981,167317981
tier1,M6,xl-5000,esbuild,deterministic_aggregate,1,1861037,1861037,0,0,1861037,1861037
tier1,M8,xl-5000,esbuild,deterministic_aggregate,1,119,119,0,0,119,119
tier1,M9,xl-5000,esbuild,deterministic_aggregate,1,100,100,0,0,100,100
tier1,M5,xs-50,esbuild,deterministic_aggregate,1,370950,370950,0,0,370950,370950
tier1,M6,xs-50,esbuild,deterministic_aggregate,1,90371,90371,0,0,90371,90371
tier1,M8,xs-50,esbuild,deterministic_aggregate,1,1,1,0,0,1,1
tier1,M9,xs-50,esbuild,deterministic_aggregate,1,100,100,0,0,100,100
tier1,M5,l-2000,rollup,deterministic_aggregate,1,11626301,11626301,0,0,11626301,11626301
tier1,M6,l-2000,rollup,deterministic_aggregate,1,1277926,1277926,0,0,1277926,1277926
tier1,M8,l-2000,rollup,deterministic_aggregate,1,6,6,0,0,6,6
tier1,M9,l-2000,rollup,deterministic_aggregate,1,100,100,0,0,100,100
tier1,M5,m-500,rollup,deterministic_aggregate,1,4566918,4566918,0,0,4566918,4566918
tier1,M6,m-500,rollup,deterministic_aggregate,1,627580,627580,0,0,627580,627580
tier1,M8,m-500,rollup,deterministic_aggregate,1,6,6,0,0,6,6
tier1,M9,m-500,rollup,deterministic_aggregate,1,100,100,0,0,100,100
tier1,M5,s-200,rollup,deterministic_aggregate,1,1661421,1661421,0,0,1661421,1661421
tier1,M6,s-200,rollup,deterministic_aggregate,1,235955,235955,0,0,235955,235955
tier1,M8,s-200,rollup,deterministic_aggregate,1,5,5,0,0,5,5
tier1,M9,s-200,rollup,deterministic_aggregate,1,100,100,0,0,100,100
