tier,metric,size,tool_1,tool_2,z,p_raw,p_bonferroni,significant
tier1,M10,l-2000,esbuild,rollup,-4.60179,0.000004,0.000042,Yes
tier1,M10,l-2000,esbuild,rspack,-3.06786,0.002156,0.02156,Yes
tier1,M10,l-2000,esbuild,vite,-1.53393,0.125047,1,No
tier1,M10,l-2000,esbuild,webpack,-6.13572,0,0,Yes
tier1,M10,l-2000,rollup,rspack,1.53393,0.125047,1,No
tier1,M10,l-2000,rollup,vite,3.06786,0.002156,0.02156,Yes
tier1,M10,l-2000,rollup,webpack,-1.53393,0.125047,1,No
tier1,M10,l-2000,rspack,vite,1.53393,0.125047,1,No
tier1,M10,l-2000,rspack,webpack,-3.06786,0.002156,0.02156,Yes
tier1,M10,l-2000,vite,webpack,-4.60179,0.000004,0.000042,Yes
tier1,M11,l-2000,esbuild,rollup,-4.602342,0.000004,0.000042,Yes
tier1,M11,l-2000,esbuild,rspack,-3.068228,0.002153,0.021533,Yes
tier1,M11,l-2000,esbuild,vite,-1.534114,0.125002,1,No
tier1,M11,l-2000,esbuild,webpack,-6.136457,0,0,Yes
tier1,M11,l-2000,rollup,rspack,1.534114,0.125002,1,No
tier1,M11,l-2000,rollup,vite,3.068228,0.002153,0.021533,Yes
tier1,M11,l-2000,rollup,webpack,-1.534114,0.125002,1,No
tier1,M11,l-2000,rspack,vite,1.534114,0.125002,1,No
tier1,M11,l-2000,rspack,webpack,-3.068228,0.002153,0.021533,Yes
tier1,M11,l-2000,vite,webpack,-4.602342,0.000004,0.000042,Yes
tier1,M2,l-2000,esbuild,rollup,-4.203776,0.000026,0.000262,Yes
tier1,M2,l-2000,esbuild,rspack,-2.638866,0.008318,0.083184,No
tier1,M2,l-2000,esbuild,vite,-0.767112,0.443015,1,No
tier1,M2,l-2000,esbuild,webpack,-5.738,0,0,Yes
tier1,M2,l-2000,rollup,rspack,1.564909,0.117604,1,No
tier1,M2,l-2000,rollup,vite,3.436663,0.000589,0.005889,Yes
tier1,M2,l-2000,rollup,webpack,-1.534225,0.124974,1,No
tier1,M2,l-2000,rspack,vite,1.871754,0.061241,0.612406,No
tier1,M2,l-2000,rspack,webpack,-3.099134,0.001941,0.019409,Yes
tier1,M2,l-2000,vite,webpack,-4.970888,0.000001,0.000007,Yes
tier1,M10,m-500,esbuild,rollup,-4.60179,0.000004,0.000042,Yes
tier1,M10,m-500,esbuild,rspack,-1.53393,0.125047,1,No
tier1,M10,m-500,esbuild,vite,-3.06786,0.002156,0.02156,Yes
tier1,M10,m-500,esbuild,webpack,-6.13572,0,0,Yes
tier1,M10,m-500,rollup,rspack,3.06786,0.002156,0.02156,Yes
tier1,M10,m-500,rollup,vite,1.53393,0.125047,1,No
tier1,M10,m-500,rollup,webpack,-1.53393,0.125047,1,No
tier1,M10,m-500,rspack,vite,-1.53393,0.125047,1,No
tier1,M10,m-500,rspack,webpack,-4.60179,0.000004,0.000042,Yes
tier1,M10,m-500,vite,webpack,-3.06786,0.002156,0.02156,Yes
tier1,M11,m-500,esbuild,rollup,-4.449145,0.000009,0.000086,Yes
tier1,M11,m-500,esbuild,rspack,-2.914957,0.003557,0.035574,Yes
tier1,M11,m-500,esbuild,vite,-1.22735,0.219691,1,No
tier1,M11,m-500,esbuild,webpack,-5.983333,0,0,Yes
tier1,M11,m-500,rollup,rspack,1.534188,0.124983,1,No
tier1,M11,m-500,rollup,vite,3.221794,0.001274,0.012739,Yes
tier1,M11,m-500,rollup,webpack,-1.534188,0.124983,1,No
tier1,M11,m-500,rspack,vite,1.687607,0.091487,0.914868,No
tier1,M11,m-500,rspack,webpack,-3.068376,0.002152,0.021523,Yes
tier1,M11,m-500,vite,webpack,-4.755982,0.000002,0.00002,Yes
tier1,M2,m-500,esbuild,rollup,-4.465023,0.000008,0.00008,Yes
tier1,M2,m-500,esbuild,rspack,-2.51637,0.011857,0.118571,No
tier1,M2,m-500,esbuild,vite,-1.258185,0.208325,1,No
tier1,M2,m-500,esbuild,webpack,-5.723208,0,0,Yes
tier1,M2,m-500,rollup,rspack,1.948653,0.051337,0.513369,No
tier1,M2,m-500,rollup,vite,3.206838,0.001342,0.01342,Yes
tier1,M2,m-500,rollup,webpack,-1.258185,0.208325,1,No
tier1,M2,m-500,rspack,vite,1.258185,0.208325,1,No
tier1,M2,m-500,rspack,webpack,-3.206838,0.001342,0.01342,Yes
