tier,metric,size,tool,median_all,median_excluding_first,n_all,n_excluding_first,rank_all,rank_excluding_first
tier1,M10,l-2000,esbuild,178.36,179.16,10,9,1,1
tier1,M10,l-2000,rollup,2085.805,2075.69,10,9,4,4
tier1,M10,l-2000,rspack,1129.785,1129.77,10,9,3,3
tier1,M10,l-2000,vite,937.08,937.03,10,9,2,2
tier1,M10,l-2000,webpack,3522.065,3447.94,10,9,5,5
tier1,M11,l-2000,esbuild,3.485,3.48,10,9,1,1
tier1,M11,l-2000,rollup,43.17,43.26,10,9,4,4
tier1,M11,l-2000,rspack,9.525,9.51,10,9,3,3
tier1,M11,l-2000,vite,5.045,5.04,10,9,2,2
tier1,M11,l-2000,webpack,62.045,61.97,10,9,5,5
tier1,M2,l-2000,esbuild,2705,2700,10,9,1,1
tier1,M2,l-2000,rollup,23655,23600,10,9,4,4
tier1,M2,l-2000,rspack,5640,5620,10,9,3,3
tier1,M2,l-2000,vite,2850,2800,10,9,2,2
tier1,M2,l-2000,webpack,39055,38990,10,9,5,5
tier1,M10,m-500,esbuild,124.305,124.69,10,9,1,1
tier1,M10,m-500,rollup,1061.865,1073.09,10,9,4,4
tier1,M10,m-500,rspack,507.03,507.06,10,9,2,2
tier1,M10,m-500,vite,553.39,553.53,10,9,3,3
tier1,M10,m-500,webpack,2059.785,2040.63,10,9,5,5
tier1,M11,m-500,esbuild,1.19,1.18,10,9,1,1
tier1,M11,m-500,rollup,17.27,17.33,10,9,4,4
tier1,M11,m-500,rspack,3.605,3.6,10,9,3,3
tier1,M11,m-500,vite,2.53,2.53,10,9,2,2
tier1,M11,m-500,webpack,27.62,27.57,10,9,5,5
tier1,M2,m-500,esbuild,860,860,10,9,1,1
tier1,M2,m-500,rollup,7440,7430,10,9,4,4
tier1,M2,m-500,rspack,2190,2170,10,9,3,3
tier1,M2,m-500,vite,1490,1480,10,9,2,2
tier1,M2,m-500,webpack,10665,10660,10,9,5,5
tier1,M10,s-200,esbuild,138.755,139.73,10,9,1,1
tier1,M10,s-200,rollup,590.57,588.5,10,9,4,4
tier1,M10,s-200,rspack,279.76,280.38,10,9,2,2
tier1,M10,s-200,vite,389.615,389.45,10,9,3,3
tier1,M10,s-200,webpack,904,899.44,10,9,5,5
tier1,M11,s-200,esbuild,1.32,1.31,10,9,1,1
tier1,M11,s-200,rollup,8.805,8.8,10,9,4,4
tier1,M11,s-200,rspack,1.79,1.77,10,9,3,3
tier1,M11,s-200,vite,1.66,1.66,10,9,2,2
tier1,M11,s-200,webpack,14.015,13.93,10,9,5,5
tier1,M2,s-200,esbuild,465,460,10,9,1,1
tier1,M2,s-200,rollup,3870,3840,10,9,4,4
tier1,M2,s-200,rspack,1260,1220,10,9,3,3
tier1,M2,s-200,vite,1135,1130,10,9,2,2
tier1,M2,s-200,webpack,5115,5080,10,9,5,5
tier1,M10,xl-5000,esbuild,272.54,273.31,10,9,1,1
tier1,M10,xl-5000,rollup,3539.285,3550.63,10,9,4,4
tier1,M10,xl-5000,rspack,2319.86,2326.19,10,9,3,3
tier1,M10,xl-5000,vite,1678.97,1674.61,10,9,2,2
tier1,M10,xl-5000,webpack,6512.195,6518.11,10,9,5,5
tier1,M11,xl-5000,esbuild,9.16,9.15,10,9,1,1
tier1,M11,xl-5000,rollup,149.735,150.23,10,9,4,4
tier1,M11,xl-5000,rspack,22.225,22.26,10,9,3,3
tier1,M11,xl-5000,vite,10.66,10.74,10,9,2,2
tier1,M11,xl-5000,webpack,168.33,168.01,10,9,5,5
tier1,M2,xl-5000,esbuild,17790,17900,10,9,3,3
tier1,M2,xl-5000,rollup,112105,113120,10,9,4,4
tier1,M2,xl-5000,rspack,14585,14560,10,9,2,2
tier1,M2,xl-5000,vite,5560,5540,10,9,1,1
tier1,M2,xl-5000,webpack,121520,120960,10,9,5,5
tier1,M10,xs-50,esbuild,100.88,101.06,10,9,1,1
tier1,M10,xs-50,rollup,459.97,457.92,10,9,4,4
tier1,M10,xs-50,rspack,191.99,192.2,10,9,2,2
tier1,M10,xs-50,vite,237.94,238.69,10,9,3,3
tier1,M10,xs-50,webpack,470.35,477.06,10,9,5,5
tier1,M11,xs-50,esbuild,0.8,0.8,10,9,1,1
tier1,M11,xs-50,rollup,6.31,6.28,10,9,4,4
tier1,M11,xs-50,rspack,1.03,1.03,10,9,3,3
tier1,M11,xs-50,vite,0.98,0.98,10,9,2,2
tier1,M11,xs-50,webpack,6.935,6.86,10,9,5,5
tier1,M2,xs-50,esbuild,320,320,10,9,1,1
tier1,M2,xs-50,rollup,2740,2730,10,9,4,4
tier1,M2,xs-50,rspack,940,930,10,9,3,3
tier1,M2,xs-50,vite,890,890,10,9,2,2
tier1,M2,xs-50,webpack,3415,3410,10,9,5,5
tier2,M10,bp-react,esbuild,62.41,62.16,10,9,1,1
tier2,M10,bp-react,rollup,640.945,640.36,10,9,4,4
tier2,M10,bp-react,rspack,315.585,316.03,10,9,2,2
tier2,M10,bp-react,vite,466.65,467.13,10,9,3,3
tier2,M10,bp-react,webpack,1153.365,1178.84,10,9,5,5
tier2,M11,bp-react,esbuild,0.06,0.06,10,9,1,1
tier2,M11,bp-react,rollup,11.46,11.46,10,9,4,4
tier2,M11,bp-react,rspack,2,1.99,10,9,2,2
tier2,M11,bp-react,vite,2.495,2.49,10,9,3,3
tier2,M11,bp-react,webpack,17.09,17,10,9,5,5
tier2,M2,bp-react,esbuild,500,500,10,9,1,1
tier2,M2,bp-react,rollup,4215,4180,10,9,4,4
tier2,M2,bp-react,rspack,1920,1900,10,9,2,2
tier2,M2,bp-react,vite,1980,1970,10,9,3,3
tier2,M2,bp-react,webpack,6515,6510,10,9,5,5
