tier,metric,size,groups,total_n,H,df,tie_correction,p_value,significant
tier1,M10,l-2000,5,50,47.058824,4,1,0,Yes
tier1,M11,l-2000,5,50,47.070125,4,0.99976,0,Yes
tier1,M2,l-2000,5,50,45.031887,4,0.999616,0,Yes
tier1,M10,m-500,5,50,47.058824,4,1,0,Yes
tier1,M11,m-500,5,50,46.227303,4,0.999664,0,Yes
tier1,M2,m-500,5,50,43.229616,4,0.999424,0,Yes
tier1,M10,s-200,5,50,47.061083,4,0.999952,0,Yes
tier1,M11,s-200,5,50,46.946817,4,0.999424,0,Yes
tier1,M2,s-200,5,50,38.558014,4,0.999472,0,Yes
tier1,M10,xl-5000,5,50,47.058824,4,1,0,Yes
tier1,M11,xl-5000,5,50,47.058824,4,1,0,Yes
tier1,M2,xl-5000,5,50,44.29295,4,0.999952,0,Yes
tier1,M10,xs-50,5,50,45.39418,4,0.999952,0,Yes
tier1,M11,xs-50,5,50,46.262526,4,0.999376,0,Yes
tier1,M2,xs-50,5,50,33.968884,4,0.997695,0.000001,Yes
tier2,M10,bp-react,5,50,47.058824,4,1,0,Yes
tier2,M11,bp-react,5,50,47.448436,4,0.991789,0,Yes
tier2,M2,bp-react,5,50,28.338632,4,0.999376,0.000011,Yes
