tier,metric,size,tool,n,mean,median,std,iqr,min,max
tier1,M10,l-2000,esbuild,10,177.733,178.36,3.686992,5.2425,171.44,182.14
tier1,M11,l-2000,esbuild,10,3.505,3.485,0.145239,0.1925,3.31,3.8
tier1,M2,l-2000,esbuild,10,3057,2705,914.549677,82.5,2580,5470
tier1,M10,m-500,esbuild,10,141.973,124.305,59.239335,3.0775,117.47,310.34
tier1,M11,m-500,esbuild,10,1.342,1.19,0.544341,0.075,1.03,2.88
tier1,M2,m-500,esbuild,10,1111,860,677.256721,85,820,3020
tier1,M10,s-200,esbuild,10,136.668,138.755,13.787114,5.3325,99.61,149.03
tier1,M11,s-200,esbuild,10,1.255,1.32,0.240474,0.0425,0.58,1.43
tier1,M2,s-200,esbuild,10,658,465,385.394459,177.5,430,1450
tier1,M10,xl-5000,esbuild,10,269.081,272.54,16.04238,9.47,241.09,290.88
tier1,M11,xl-5000,esbuild,10,9.109,9.16,0.195019,0.22,8.76,9.38
tier1,M2,xl-5000,esbuild,10,18599,17790,1822.260196,885,17030,22170
tier1,M10,xs-50,esbuild,10,100.488,100.88,4.075152,2.9775,91.16,106.83
tier1,M11,xs-50,esbuild,10,0.816,0.8,0.047422,0.05,0.77,0.92
tier1,M2,xs-50,esbuild,10,654,320,860.57087,25,300,3030
tier1,M10,l-2000,rollup,10,2131.228,2085.805,102.81959,57.4725,2061.72,2336.63
tier1,M11,l-2000,rollup,10,42.833,43.17,1.113284,1.5375,40.95,44.18
tier1,M2,l-2000,rollup,10,24986,23655,2878.086556,3262.5,21940,30590
tier1,M10,m-500,rollup,10,1061.081,1061.865,47.412744,63.65,989.14,1116.77
tier1,M11,m-500,rollup,10,17.238,17.27,0.22592,0.2925,16.84,17.58
tier1,M2,m-500,rollup,10,8227,7440,2388.286462,282.5,7130,15000
tier1,M10,s-200,rollup,10,585.557,590.57,26.529612,12.9875,513.22,604.72
tier1,M11,s-200,rollup,10,8.771,8.805,0.156166,0.2125,8.59,9.05
tier1,M2,s-200,rollup,10,5245,3870,2786.476269,722.5,3720,11030
tier1,M10,xl-5000,rollup,10,3496.077,3539.285,115.508831,93.9625,3249.89,3592.81
tier1,M11,xl-5000,rollup,10,147.867,149.735,8.668109,4.15,125.46,156.94
tier1,M2,xl-5000,rollup,10,110320,112105,8646.482907,8895,90960,121700
tier1,M10,xs-50,rollup,10,442.925,459.97,31.46518,61.02,400.67,472.63
tier1,M11,xs-50,rollup,10,6.296,6.31,0.220766,0.215,5.97,6.78
tier1,M2,xs-50,rollup,10,3654,2740,2834.61226,272.5,2580,11710
tier1,M10,l-2000,rspack,10,1132.858,1129.785,16.037801,14,1118.02,1168.77
tier1,M11,l-2000,rspack,10,9.537,9.525,0.153119,0.085,9.36,9.92
tier1,M2,l-2000,rspack,10,6049,5640,841.433301,715,5370,7810
tier1,M10,m-500,rspack,10,506.901,507.03,3.384666,4.145,501.61,511.81
tier1,M11,m-500,rspack,10,3.605,3.605,0.064161,0.075,3.48,3.7
tier1,M2,m-500,rspack,10,2333,2190,493.987179,95,2030,3720
tier1,M10,s-200,rspack,10,279.642,279.76,2.581605,2.63,275.67,285.25
tier1,M11,s-200,rspack,10,1.819,1.79,0.094921,0.055,1.74,2.05
tier1,M2,s-200,rspack,10,2167,1260,2386.103518,190,1170,8800
tier1,M10,xl-5000,rspack,10,2297.838,2319.86,89.748538,84.35,2080.28,2391.44
tier1,M11,xl-5000,rspack,10,22.19,22.225,0.435737,0.5675,21.5,22.78
tier1,M2,xl-5000,rspack,10,14278,14585,904.099306,342.5,12580,15100
tier1,M10,xs-50,rspack,10,192.331,191.99,3.124557,3.7825,185.48,196.25
tier1,M11,xs-50,rspack,10,1.067,1.03,0.098551,0.0375,1,1.32
tier1,M2,xs-50,rspack,10,2531,940,4449.325667,47.5,890,15080
tier1,M10,l-2000,vite,10,934.043,937.08,11.728328,4.3675,911.5,947.61
tier1,M11,l-2000,vite,10,5.04,5.045,0.106145,0.1425,4.85,5.2
tier1,M2,l-2000,vite,10,3314,2850,880.204522,867.5,2630,4960
tier1,M10,m-500,vite,10,550.296,553.39,8.40978,2.225,526.73,554.44
tier1,M11,m-500,vite,10,2.586,2.53,0.115297,0.0725,2.49,2.85
tier1,M2,m-500,vite,10,1718,1490,634.994313,170,1370,3490
tier1,M10,s-200,vite,10,389.094,389.615,3.197117,5.0425,383.23,393.22
tier1,M11,s-200,vite,10,1.668,1.66,0.039665,0.0375,1.63,1.75
tier1,M2,s-200,vite,10,1370,1135,522.472753,45,1080,2510
tier1,M10,xl-5000,vite,10,1674.105,1678.97,21.607227,25.815,1632.11,1702.05
tier1,M11,xl-5000,vite,10,10.767,10.66,0.324963,0.4025,10.43,11.3
tier1,M2,xl-5000,vite,10,7865,5560,4467.776603,1725,5260,17740
tier1,M10,xs-50,vite,10,238.276,237.94,2.981074,3.7125,233.91,243.19
tier1,M11,xs-50,vite,10,0.983,0.98,0.052715,0.0375,0.94,1.12
tier1,M2,xs-50,vite,10,1158,890,678.016716,37.5,820,2960
tier1,M10,l-2000,webpack,10,3532.011,3522.065,322.899586,428.0875,3107.44,4117.58
