tool,size,metric,run,value,unit,timestamp
esbuild,l-2000,M10,1,176.45,MiB,2026-09-15T08:34:47Z
esbuild,l-2000,M10,2,175.33,MiB,2026-09-15T08:34:47Z
esbuild,l-2000,M10,3,182.14,MiB,2026-09-15T08:34:47Z
esbuild,l-2000,M10,4,172.75,MiB,2026-09-15T08:34:47Z
esbuild,l-2000,M10,5,180.5,MiB,2026-09-15T08:34:47Z
esbuild,l-2000,M10,6,181.03,MiB,2026-09-15T08:34:47Z
esbuild,l-2000,M10,7,177.56,MiB,2026-09-15T08:34:47Z
esbuild,l-2000,M10,8,171.44,MiB,2026-09-15T08:34:47Z
esbuild,l-2000,M10,9,179.16,MiB,2026-09-15T08:34:47Z
esbuild,l-2000,M10,10,180.97,MiB,2026-09-15T08:34:47Z
