tool,size,metric,run,value,unit,timestamp
esbuild,m-500,M11,1,1.23,seconds,2026-09-15T08:34:47Z
esbuild,m-500,M11,2,1.14,seconds,2026-09-15T08:34:47Z
esbuild,m-500,M11,3,1.26,seconds,2026-09-15T08:34:47Z
esbuild,m-500,M11,4,1.11,seconds,2026-09-15T08:34:47Z
esbuild,m-500,M11,5,1.03,seconds,2026-09-15T08:34:47Z
esbuild,m-500,M11,6,2.88,seconds,2026-09-15T08:34:47Z
esbuild,m-500,M11,7,1.21,seconds,2026-09-15T08:34:47Z
esbuild,m-500,M11,8,1.18,seconds,2026-09-15T08:34:47Z
esbuild,m-500,M11,9,1.2,seconds,2026-09-15T08:34:47Z
esbuild,m-500,M11,10,1.18,seconds,2026-09-15T08:34:47Z
