tool,size,metric,run,value,unit,timestamp
esbuild,xl-5000,M11,1,9.27,seconds,2026-09-15T08:34:47Z
esbuild,xl-5000,M11,2,9.15,seconds,2026-09-15T08:34:47Z
esbuild,xl-5000,M11,3,9.05,seconds,2026-09-15T08:34:47Z
esbuild,xl-5000,M11,4,8.84,seconds,2026-09-15T08:34:47Z
esbuild,xl-5000,M11,5,9.25,seconds,2026-09-15T08:34:47Z
esbuild,xl-5000,M11,6,9.01,seconds,2026-09-15T08:34:47Z
esbuild,xl-5000,M11,7,8.76,seconds,2026-09-15T08:34:47Z
esbuild,xl-5000,M11,8,9.17,seconds,2026-09-15T08:34:47Z
esbuild,xl-5000,M11,9,9.38,seconds,2026-09-15T08:34:47Z
esbuild,xl-5000,M11,10,9.21,seconds,2026-09-15T08:34:47Z
