tool,size,metric,run,value,unit,timestamp
rollup,l-2000,M2,1,30590,ms,2026-09-15T08:34:47Z
rollup,l-2000,M2,2,27600,ms,2026-09-15T08:34:47Z
rollup,l-2000,M2,3,23740,ms,2026-09-15T08:34:47Z
rollup,l-2000,M2,4,23310,ms,2026-09-15T08:34:47Z
rollup,l-2000,M2,5,23560,ms,2026-09-15T08:34:47Z
rollup,l-2000,M2,6,23600,ms,2026-09-15T08:34:47Z
rollup,l-2000,M2,7,23710,ms,2026-09-15T08:34:47Z
rollup,l-2000,M2,8,28680,ms,2026-09-15T08:34:47Z
rollup,l-2000,M2,9,23130,ms,2026-09-15T08:34:47Z
rollup,l-2000,M2,10,21940,ms,2026-09-15T08:34:47Z
