tool,size,metric,run,value,unit,timestamp
rollup,xl-5000,M2,1,90960,ms,2026-09-15T08:34:47Z
rollup,xl-5000,M2,2,121700,ms,2026-09-15T08:34:47Z
rollup,xl-5000,M2,3,114400,ms,2026-09-15T08:34:47Z
rollup,xl-5000,M2,4,117260,ms,2026-09-15T08:34:47Z
rollup,xl-5000,M2,5,116140,ms,2026-09-15T08:34:47Z
rollup,xl-5000,M2,6,106300,ms,2026-09-15T08:34:47Z
rollup,xl-5000,M2,7,108340,ms,2026-09-15T08:34:47Z
rollup,xl-5000,M2,8,113120,ms,2026-09-15T08:34:47Z
rollup,xl-5000,M2,9,111090,ms,2026-09-15T08:34:47Z
rollup,xl-5000,M2,10,103890,ms,2026-09-15T08:34:47Z
