tool,size,metric,run,value,unit,timestamp
rspack,m-500,M2,1,3720,ms,2026-09-15T08:34:47Z
rspack,m-500,M2,2,2170,ms,2026-09-15T08:34:47Z
rspack,m-500,M2,3,2260,ms,2026-09-15T08:34:47Z
rspack,m-500,M2,4,2210,ms,2026-09-15T08:34:47Z
rspack,m-500,M2,5,2300,ms,2026-09-15T08:34:47Z
rspack,m-500,M2,6,2160,ms,2026-09-15T08:34:47Z
rspack,m-500,M2,7,2080,ms,2026-09-15T08:34:47Z
rspack,m-500,M2,8,2240,ms,2026-09-15T08:34:47Z
rspack,m-500,M2,9,2160,ms,2026-09-15T08:34:47Z
rspack,m-500,M2,10,2030,ms,2026-09-15T08:34:47Z
