tool,size,metric,run,value,unit,timestamp
rspack,s-200,M10,1,277.91,MiB,2026-09-15T08:34:47Z
rspack,s-200,M10,2,277.94,MiB,2026-09-15T08:34:47Z
rspack,s-200,M10,3,278.05,MiB,2026-09-15T08:34:47Z
rspack,s-200,M10,4,280.38,MiB,2026-09-15T08:34:47Z
rspack,s-200,M10,5,280.67,MiB,2026-09-15T08:34:47Z
rspack,s-200,M10,6,285.25,MiB,2026-09-15T08:34:47Z
rspack,s-200,M10,7,281.03,MiB,2026-09-15T08:34:47Z
rspack,s-200,M10,8,279.14,MiB,2026-09-15T08:34:47Z
rspack,s-200,M10,9,275.67,MiB,2026-09-15T08:34:47Z
rspack,s-200,M10,10,280.38,MiB,2026-09-15T08:34:47Z
