tool,size,metric,run,value,unit,timestamp
rspack,xl-5000,M10,1,2240.09,MiB,2026-09-15T08:34:47Z
rspack,xl-5000,M10,2,2333.63,MiB,2026-09-15T08:34:47Z
rspack,xl-5000,M10,3,2370.05,MiB,2026-09-15T08:34:47Z
rspack,xl-5000,M10,4,2391.44,MiB,2026-09-15T08:34:47Z
rspack,xl-5000,M10,5,2080.28,MiB,2026-09-15T08:34:47Z
rspack,xl-5000,M10,6,2266.09,MiB,2026-09-15T08:34:47Z
rspack,xl-5000,M10,7,2364.78,MiB,2026-09-15T08:34:47Z
rspack,xl-5000,M10,8,2313.53,MiB,2026-09-15T08:34:47Z
rspack,xl-5000,M10,9,2326.19,MiB,2026-09-15T08:34:47Z
rspack,xl-5000,M10,10,2292.3,MiB,2026-09-15T08:34:47Z
