tool,size,metric,run,value,unit,timestamp
rspack,xs-50,M10,1,191.11,MiB,2026-09-15T08:34:47Z
rspack,xs-50,M10,2,185.48,MiB,2026-09-15T08:34:47Z
rspack,xs-50,M10,3,190.72,MiB,2026-09-15T08:34:47Z
rspack,xs-50,M10,4,191.11,MiB,2026-09-15T08:34:47Z
rspack,xs-50,M10,5,194.66,MiB,2026-09-15T08:34:47Z
rspack,xs-50,M10,6,191.78,MiB,2026-09-15T08:34:47Z
rspack,xs-50,M10,7,195.03,MiB,2026-09-15T08:34:47Z
rspack,xs-50,M10,8,192.2,MiB,2026-09-15T08:34:47Z
rspack,xs-50,M10,9,196.25,MiB,2026-09-15T08:34:47Z
rspack,xs-50,M10,10,194.97,MiB,2026-09-15T08:34:47Z
