tool,size,metric,run,value,unit,timestamp
vite,l-2000,M2,1,4960,ms,2026-09-15T08:34:47Z
vite,l-2000,M2,2,3850,ms,2026-09-15T08:34:47Z
vite,l-2000,M2,3,2720,ms,2026-09-15T08:34:47Z
vite,l-2000,M2,4,2900,ms,2026-09-15T08:34:47Z
vite,l-2000,M2,5,2760,ms,2026-09-15T08:34:47Z
vite,l-2000,M2,6,2990,ms,2026-09-15T08:34:47Z
vite,l-2000,M2,7,2630,ms,2026-09-15T08:34:47Z
vite,l-2000,M2,8,4740,ms,2026-09-15T08:34:47Z
vite,l-2000,M2,9,2790,ms,2026-09-15T08:34:47Z
vite,l-2000,M2,10,2800,ms,2026-09-15T08:34:47Z
