tool,size,metric,run,value,unit,timestamp
vite,m-500,M11,1,2.73,seconds,2026-09-15T08:34:47Z
vite,m-500,M11,2,2.53,seconds,2026-09-15T08:34:47Z
vite,m-500,M11,3,2.49,seconds,2026-09-15T08:34:47Z
vite,m-500,M11,4,2.61,seconds,2026-09-15T08:34:47Z
vite,m-500,M11,5,2.55,seconds,2026-09-15T08:34:47Z
vite,m-500,M11,6,2.85,seconds,2026-09-15T08:34:47Z
vite,m-500,M11,7,2.53,seconds,2026-09-15T08:34:47Z
vite,m-500,M11,8,2.52,seconds,2026-09-15T08:34:47Z
vite,m-500,M11,9,2.53,seconds,2026-09-15T08:34:47Z
vite,m-500,M11,10,2.52,seconds,2026-09-15T08:34:47Z
