tool,size,metric,run,value,unit,timestamp
vite,s-200,M11,1,1.75,seconds,2026-09-15T08:34:47Z
vite,s-200,M11,2,1.64,seconds,2026-09-15T08:34:47Z
vite,s-200,M11,3,1.63,seconds,2026-09-15T08:34:47Z
vite,s-200,M11,4,1.66,seconds,2026-09-15T08:34:47Z
vite,s-200,M11,5,1.67,seconds,2026-09-15T08:34:47Z
vite,s-200,M11,6,1.72,seconds,2026-09-15T08:34:47Z
vite,s-200,M11,7,1.66,seconds,2026-09-15T08:34:47Z
vite,s-200,M11,8,1.64,seconds,2026-09-15T08:34:47Z
vite,s-200,M11,9,1.63,seconds,2026-09-15T08:34:47Z
vite,s-200,M11,10,1.68,seconds,2026-09-15T08:34:47Z
