tool,size,metric,run,value,unit,timestamp
vite,xl-5000,M11,1,10.56,seconds,2026-09-15T08:34:47Z
vite,xl-5000,M11,2,10.99,seconds,2026-09-15T08:34:47Z
vite,xl-5000,M11,3,10.58,seconds,2026-09-15T08:34:47Z
vite,xl-5000,M11,4,11.29,seconds,2026-09-15T08:34:47Z
vite,xl-5000,M11,5,10.74,seconds,2026-09-15T08:34:47Z
vite,xl-5000,M11,6,10.43,seconds,2026-09-15T08:34:47Z
vite,xl-5000,M11,7,10.53,seconds,2026-09-15T08:34:47Z
vite,xl-5000,M11,8,11.3,seconds,2026-09-15T08:34:47Z
vite,xl-5000,M11,9,10.79,seconds,2026-09-15T08:34:47Z
vite,xl-5000,M11,10,10.46,seconds,2026-09-15T08:34:47Z
