tool,size,metric,run,value,unit,timestamp
vite,xs-50,M10,1,235.98,MiB,2026-09-15T08:34:47Z
vite,xs-50,M10,2,239.8,MiB,2026-09-15T08:34:47Z
vite,xs-50,M10,3,237.19,MiB,2026-09-15T08:34:47Z
vite,xs-50,M10,4,236.2,MiB,2026-09-15T08:34:47Z
vite,xs-50,M10,5,233.91,MiB,2026-09-15T08:34:47Z
vite,xs-50,M10,6,243.19,MiB,2026-09-15T08:34:47Z
vite,xs-50,M10,7,238.69,MiB,2026-09-15T08:34:47Z
vite,xs-50,M10,8,239.59,MiB,2026-09-15T08:34:47Z
vite,xs-50,M10,9,242.3,MiB,2026-09-15T08:34:47Z
vite,xs-50,M10,10,235.91,MiB,2026-09-15T08:34:47Z
