tool,size,metric,run,value,unit,timestamp
webpack,l-2000,M2,1,51570,ms,2026-09-15T08:34:47Z
webpack,l-2000,M2,2,47610,ms,2026-09-15T08:34:47Z
webpack,l-2000,M2,3,38630,ms,2026-09-15T08:34:47Z
webpack,l-2000,M2,4,38770,ms,2026-09-15T08:34:47Z
webpack,l-2000,M2,5,39210,ms,2026-09-15T08:34:47Z
webpack,l-2000,M2,6,38990,ms,2026-09-15T08:34:47Z
webpack,l-2000,M2,7,39120,ms,2026-09-15T08:34:47Z
webpack,l-2000,M2,8,48480,ms,2026-09-15T08:34:47Z
webpack,l-2000,M2,9,38840,ms,2026-09-15T08:34:47Z
webpack,l-2000,M2,10,38670,ms,2026-09-15T08:34:47Z
