tool,size,metric,run,value,unit,timestamp
webpack,m-500,M10,1,2078.94,MiB,2026-09-15T08:34:47Z
webpack,m-500,M10,2,2205.16,MiB,2026-09-15T08:34:47Z
webpack,m-500,M10,3,2019.06,MiB,2026-09-15T08:34:47Z
webpack,m-500,M10,4,1910.27,MiB,2026-09-15T08:34:47Z
webpack,m-500,M10,5,1889.13,MiB,2026-09-15T08:34:47Z
webpack,m-500,M10,6,2129.69,MiB,2026-09-15T08:34:47Z
webpack,m-500,M10,7,2040.63,MiB,2026-09-15T08:34:47Z
webpack,m-500,M10,8,2150.45,MiB,2026-09-15T08:34:47Z
webpack,m-500,M10,9,1878.66,MiB,2026-09-15T08:34:47Z
webpack,m-500,M10,10,2157.86,MiB,2026-09-15T08:34:47Z
