tool,size,metric,run,value,unit,timestamp
webpack,s-200,M11,1,15.13,seconds,2026-09-15T08:34:47Z
webpack,s-200,M11,2,13.93,seconds,2026-09-15T08:34:47Z
webpack,s-200,M11,3,13.86,seconds,2026-09-15T08:34:47Z
webpack,s-200,M11,4,14.1,seconds,2026-09-15T08:34:47Z
webpack,s-200,M11,5,14.6,seconds,2026-09-15T08:34:47Z
webpack,s-200,M11,6,14.68,seconds,2026-09-15T08:34:47Z
webpack,s-200,M11,7,13.87,seconds,2026-09-15T08:34:47Z
webpack,s-200,M11,8,13.6,seconds,2026-09-15T08:34:47Z
webpack,s-200,M11,9,14.67,seconds,2026-09-15T08:34:47Z
webpack,s-200,M11,10,13.75,seconds,2026-09-15T08:34:47Z
