tool,size,metric,run,value,unit,timestamp
webpack,xs-50,M11,1,7.86,seconds,2026-09-15T08:34:47Z
webpack,xs-50,M11,2,7.65,seconds,2026-09-15T08:34:47Z
webpack,xs-50,M11,3,6.85,seconds,2026-09-15T08:34:47Z
webpack,xs-50,M11,4,7.03,seconds,2026-09-15T08:34:47Z
webpack,xs-50,M11,5,6.86,seconds,2026-09-15T08:34:47Z
webpack,xs-50,M11,6,6.86,seconds,2026-09-15T08:34:47Z
webpack,xs-50,M11,7,7.01,seconds,2026-09-15T08:34:47Z
webpack,xs-50,M11,8,6.84,seconds,2026-09-15T08:34:47Z
webpack,xs-50,M11,9,6.74,seconds,2026-09-15T08:34:47Z
webpack,xs-50,M11,10,7.45,seconds,2026-09-15T08:34:47Z
