tool,size,metric,run,value,unit,timestamp
esbuild,bp-react,M11,1,0.06,seconds,2026-09-15T08:34:47Z
esbuild,bp-react,M11,2,0.06,seconds,2026-09-15T08:34:47Z
esbuild,bp-react,M11,3,0.06,seconds,2026-09-15T08:34:47Z
esbuild,bp-react,M11,4,0.06,seconds,2026-09-15T08:34:47Z
esbuild,bp-react,M11,5,0.06,seconds,2026-09-15T08:34:47Z
esbuild,bp-react,M11,6,0.06,seconds,2026-09-15T08:34:47Z
esbuild,bp-react,M11,7,0.06,seconds,2026-09-15T08:34:47Z
esbuild,bp-react,M11,8,0.06,seconds,2026-09-15T08:34:47Z
esbuild,bp-react,M11,9,0.06,seconds,2026-09-15T08:34:47Z
esbuild,bp-react,M11,10,0.06,seconds,2026-09-15T08:34:47Z
