tool,size,metric,run,value,unit,timestamp
rspack,bp-react,M10,1,306.52,MiB,2026-09-15T08:34:47Z
rspack,bp-react,M10,2,306.23,MiB,2026-09-15T08:34:47Z
rspack,bp-react,M10,3,313.89,MiB,2026-09-15T08:34:47Z
rspack,bp-react,M10,4,315.14,MiB,2026-09-15T08:34:47Z
rspack,bp-react,M10,5,316.7,MiB,2026-09-15T08:34:47Z
rspack,bp-react,M10,6,316.03,MiB,2026-09-15T08:34:47Z
rspack,bp-react,M10,7,313.14,MiB,2026-09-15T08:34:47Z
rspack,bp-react,M10,8,319.45,MiB,2026-09-15T08:34:47Z
rspack,bp-react,M10,9,317.75,MiB,2026-09-15T08:34:47Z
rspack,bp-react,M10,10,322.16,MiB,2026-09-15T08:34:47Z
