tool,size,metric,run,value,unit,timestamp
vite,bp-react,M10,1,431.8,MiB,2026-09-15T08:34:47Z
vite,bp-react,M10,2,465.03,MiB,2026-09-15T08:34:47Z
vite,bp-react,M10,3,461.95,MiB,2026-09-15T08:34:47Z
vite,bp-react,M10,4,467.13,MiB,2026-09-15T08:34:47Z
vite,bp-react,M10,5,466.17,MiB,2026-09-15T08:34:47Z
vite,bp-react,M10,6,477.03,MiB,2026-09-15T08:34:47Z
vite,bp-react,M10,7,461.69,MiB,2026-09-15T08:34:47Z
vite,bp-react,M10,8,474.25,MiB,2026-09-15T08:34:47Z
vite,bp-react,M10,9,470.33,MiB,2026-09-15T08:34:47Z
vite,bp-react,M10,10,468.11,MiB,2026-09-15T08:34:47Z
