tool,size,metric,run,value,unit,timestamp
webpack,bp-react,M10,1,1008.78,MiB,2026-09-15T08:34:47Z
webpack,bp-react,M10,2,1127.89,MiB,2026-09-15T08:34:47Z
webpack,bp-react,M10,3,1190.58,MiB,2026-09-15T08:34:47Z
webpack,bp-react,M10,4,1185.27,MiB,2026-09-15T08:34:47Z
webpack,bp-react,M10,5,1027,MiB,2026-09-15T08:34:47Z
webpack,bp-react,M10,6,1107.84,MiB,2026-09-15T08:34:47Z
webpack,bp-react,M10,7,1178.84,MiB,2026-09-15T08:34:47Z
webpack,bp-react,M10,8,1119.31,MiB,2026-09-15T08:34:47Z
webpack,bp-react,M10,9,1183.81,MiB,2026-09-15T08:34:47Z
webpack,bp-react,M10,10,1182.55,MiB,2026-09-15T08:34:47Z
