tool,size,metric,run,value,unit,timestamp,session
rspack,xl-5000,M4,1,408,ms,2026-09-15T07:12:03Z,1
rspack,xl-5000,M4,2,421,ms,2026-09-15T07:12:03Z,1
rspack,xl-5000,M4,3,447,ms,2026-09-15T07:12:03Z,1
rspack,xl-5000,M4,4,436,ms,2026-09-15T07:12:03Z,1
rspack,xl-5000,M4,5,393,ms,2026-09-15T07:12:03Z,2
rspack,xl-5000,M4,6,420,ms,2026-09-15T07:12:03Z,2
rspack,xl-5000,M4,7,390,ms,2026-09-15T07:12:03Z,2
rspack,xl-5000,M4,8,405,ms,2026-09-15T07:12:03Z,2
rspack,xl-5000,M4,9,354,ms,2026-09-15T07:12:03Z,3
rspack,xl-5000,M4,10,344,ms,2026-09-15T07:12:03Z,3
rspack,xl-5000,M4,11,368,ms,2026-09-15T07:12:03Z,3
rspack,xl-5000,M4,12,394,ms,2026-09-15T07:12:03Z,3
rspack,xl-5000,M4,13,365,ms,2026-09-15T07:12:03Z,4
rspack,xl-5000,M4,14,388,ms,2026-09-15T07:12:03Z,4
rspack,xl-5000,M4,15,422,ms,2026-09-15T07:12:03Z,4
rspack,xl-5000,M4,16,364,ms,2026-09-15T07:12:03Z,4
rspack,xl-5000,M4,17,335,ms,2026-09-15T07:12:03Z,5
rspack,xl-5000,M4,18,367,ms,2026-09-15T07:12:03Z,5
rspack,xl-5000,M4,19,376,ms,2026-09-15T07:12:03Z,5
rspack,xl-5000,M4,20,362,ms,2026-09-15T07:12:03Z,5
